learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.69324183,0.6931819,0.5016267,0.502
0.001,0.69301796,0.6933299,0.5083333,0.50314
0.001,0.6929474,0.69295734,0.50788665,0.50854
0.001,0.69287133,0.6928242,0.50898665,0.51214
0.001,0.6927621,0.69278634,0.5117533,0.50962
0.001,0.69273627,0.69270027,0.51299334,0.51344
0.001,0.6926764,0.6926867,0.51232666,0.51228
0.001,0.6926601,0.6926572,0.51122665,0.5119
0.001,0.6925503,0.6924302,0.5136333,0.51482
0.001,0.691524,0.69153285,0.5234467,0.5229
0.001,0.6908234,0.6909494,0.5290933,0.52704
0.001,0.6905555,0.69041336,0.53107333,0.5289
0.001,0.69026375,0.6959588,0.5307533,0.50706
0.001,0.6901159,0.6903951,0.5324067,0.52758
0.001,0.68976814,0.6905889,0.5333667,0.5292
0.001,0.6893173,0.6897411,0.5355733,0.53306
0.001,0.6892404,0.6891577,0.5353467,0.53646
0.001,0.68892187,0.6896305,0.53719336,0.53496
0.001,0.68864816,0.68953377,0.53826666,0.53456
0.001,0.6884557,0.6905409,0.53982,0.52804
0.001,0.6882593,0.6889439,0.5396733,0.53842
0.001,0.6879246,0.689315,0.5408533,0.53432
0.001,0.6878029,0.68886304,0.5421733,0.53676
0.001,0.68738425,0.68896335,0.54264665,0.53586
0.001,0.68706286,0.6891657,0.54326665,0.53706
0.001,0.68670815,0.68895906,0.54494,0.53484
0.001,0.68640405,0.6891876,0.54692,0.53592
0.001,0.68615544,0.6890674,0.54642665,0.53638
0.001,0.68592024,0.68974566,0.54714,0.5354
0.001,0.68534464,0.6901645,0.5501533,0.53548
0.001,0.6849253,0.6896015,0.55091333,0.53466
0.001,0.68474746,0.6907683,0.5529133,0.53366
0.001,0.6841573,0.6902962,0.55233335,0.53264
0.001,0.6836253,0.6909806,0.5537933,0.53332
0.001,0.6829989,0.69128346,0.5559933,0.53228
0.001,0.6828918,0.6916131,0.55704665,0.5333
0.001,0.68195784,0.6920048,0.55898666,0.53256
0.001,0.68153113,0.69296944,0.5597733,0.53038
0.001,0.6810034,0.6921991,0.5604333,0.53124
0.001,0.68039143,0.6931679,0.56326,0.53202
0.001,0.6800351,0.6930823,0.56269336,0.53222
0.001,0.67941624,0.6922837,0.56406,0.53134
0.001,0.6788309,0.6939285,0.56751335,0.53054
0.001,0.6785697,0.69416386,0.5681267,0.53036
0.001,0.67779666,0.69575334,0.56894,0.52914
0.001,0.67732453,0.6949247,0.57015336,0.53088
0.001,0.6769107,0.6953874,0.57104665,0.52762
0.001,0.6759728,0.694368,0.57309335,0.52966
0.001,0.6755941,0.6974789,0.5718,0.53014
0.001,0.67518246,0.6985899,0.5735667,0.52766
0.001,0.67471045,0.69989836,0.57475334,0.53046
0.001,0.673646,0.69789964,0.5767533,0.52892
0.001,0.6734045,0.6973929,0.57757336,0.52534
0.001,0.67320514,0.6974801,0.57670665,0.52562
0.001,0.6725481,0.69977456,0.57974,0.52698
0.001,0.67229694,0.70010585,0.5789667,0.52738
0.001,0.6714011,0.7015307,0.58111334,0.5274
0.001,0.6709885,0.6998463,0.5816467,0.52768
0.001,0.67045575,0.700961,0.58224,0.5263
0.001,0.6702846,0.6994928,0.58365333,0.52748
0.001,0.66927534,0.7030584,0.58404666,0.52262
0.001,0.6689954,0.7005464,0.5854667,0.52442
0.001,0.66840506,0.70501935,0.58599335,0.52264
0.001,0.667916,0.70901734,0.58673334,0.5258
0.001,0.6673322,0.70201445,0.58838,0.52406
0.001,0.66743594,0.7044463,0.5873,0.5233
0.001,0.66641766,0.705136,0.589,0.524
0.001,0.6663576,0.7068513,0.58863336,0.52366
0.001,0.6658786,0.7060022,0.58976,0.52642
0.001,0.66577303,0.7078426,0.5907867,0.5234
0.001,0.665389,0.70504755,0.59184,0.52402
0.001,0.664761,0.709373,0.59158,0.52662
0.001,0.6645999,0.7129075,0.5922,0.5234
0.001,0.66369325,0.70552856,0.5923333,0.52702
0.001,0.663888,0.7096186,0.59331334,0.52376
0.001,0.66347885,0.7117755,0.59507334,0.52372
0.001,0.6631296,0.7133625,0.59526,0.52382
0.001,0.6625701,0.7089102,0.59529334,0.52216
0.001,0.662352,0.7086689,0.5957133,0.52114
0.001,0.66198796,0.7113554,0.5964933,0.52176
0.001,0.6614749,0.713921,0.59676665,0.5225
0.001,0.66080123,0.7081913,0.59852,0.52254
0.001,0.66091305,0.713718,0.5983267,0.52398
0.001,0.65997607,0.71568805,0.59854,0.52258
0.001,0.66028047,0.7098312,0.59752667,0.52184
0.001,0.6591846,0.7189021,0.60038,0.52244
0.001,0.65956897,0.71372217,0.59914,0.52126
0.001,0.6594341,0.711981,0.6000867,0.51998
0.001,0.6596068,0.7131096,0.5996867,0.52338
0.001,0.6585186,0.7134774,0.60090667,0.5206
0.001,0.65819204,0.71516865,0.60246664,0.522
0.001,0.65870076,0.7140747,0.6002,0.52084
0.001,0.65807384,0.713473,0.60122,0.5219
0.001,0.6571165,0.7190349,0.60294,0.5217
0.001,0.6577159,0.71536046,0.6019533,0.52026
0.001,0.65684783,0.7185688,0.60209334,0.51942
0.001,0.6566952,0.7126639,0.60340667,0.51888
0.001,0.657096,0.7175006,0.60238665,0.5197
0.001,0.6570694,0.7181227,0.6029533,0.52154
0.001,0.65659416,0.7175091,0.60356665,0.5204
0.001,0.6556601,0.7229054,0.60513335,0.5194
0.001,0.6551244,0.71756035,0.6061867,0.52144
0.001,0.6558187,0.71719205,0.60444665,0.52106
0.001,0.6557296,0.71783113,0.60569334,0.51996
0.001,0.65540105,0.7215899,0.60612667,0.52004
0.001,0.6557212,0.7170796,0.60432667,0.51936
