learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.69307613,0.6929308,0.5071333,0.50804
0.001,0.69003004,0.6816426,0.5259067,0.56236
0.001,0.6810027,0.6788079,0.56534,0.566
0.001,0.6779544,0.6761002,0.5718267,0.57386
0.001,0.6753348,0.676449,0.5746267,0.57996
0.001,0.67299217,0.6739821,0.58136666,0.58034
0.001,0.67132425,0.6733887,0.58566,0.57992
0.001,0.67055225,0.67362696,0.5857667,0.57886
0.001,0.669296,0.67223203,0.5885133,0.58052
0.001,0.6683707,0.6709587,0.58938664,0.58458
0.001,0.667272,0.6711351,0.59113336,0.58558
0.001,0.6660824,0.67295456,0.5933267,0.58236
0.001,0.6651652,0.67057383,0.59606,0.58718
0.001,0.6636358,0.67162126,0.5972533,0.58098
0.001,0.66240656,0.67136383,0.5990667,0.58452
0.001,0.66087407,0.67144907,0.60132,0.58584
0.001,0.6590283,0.673073,0.6043533,0.58454
0.001,0.6572118,0.67471445,0.6063667,0.5812
0.001,0.6553527,0.67262274,0.6091933,0.58444
0.001,0.6536952,0.67462,0.61083335,0.58426
0.001,0.6514683,0.673676,0.61428,0.58438
0.001,0.64925164,0.680075,0.61642,0.57854
0.001,0.6471101,0.67530453,0.61851335,0.58386
0.001,0.6450496,0.6760409,0.6214733,0.57956
0.001,0.6425796,0.68868893,0.62488,0.57642
0.001,0.6401557,0.68099445,0.6271267,0.58114
0.001,0.6376179,0.68171096,0.6301733,0.57776
0.001,0.63506085,0.6865356,0.6316933,0.5793
0.001,0.63309,0.68601,0.6348067,0.57532
0.001,0.63080966,0.69320256,0.63648,0.57122
0.001,0.62842566,0.6971164,0.6389533,0.57474
0.001,0.6257197,0.6963578,0.64312,0.57106
0.001,0.62379545,0.70232457,0.6443,0.56988
0.001,0.62071913,0.7027201,0.64746,0.56988
0.001,0.61840695,0.69926846,0.64962,0.57228
0.001,0.6161527,0.7015856,0.65176666,0.57022
0.001,0.6144857,0.70984834,0.65162665,0.56724
0.001,0.61185086,0.70466805,0.65640664,0.56958
0.001,0.6105093,0.69755214,0.65617335,0.56952
0.001,0.6077853,0.71294266,0.6593133,0.57214
0.001,0.6066612,0.70726866,0.65982,0.56652
0.001,0.6035515,0.71500957,0.66282666,0.56686
0.001,0.6016072,0.7221331,0.66491336,0.5728
0.001,0.6000213,0.72286636,0.6666333,0.56836
0.001,0.59829336,0.71696824,0.6680533,0.56796
0.001,0.5961152,0.7278056,0.6694133,0.5693
0.001,0.59572774,0.71892715,0.67086,0.5647
0.001,0.5935313,0.72165936,0.67164665,0.56652
0.001,0.592153,0.73081166,0.6714733,0.56634
0.001,0.58985835,0.7301789,0.67554665,0.56288
0.001,0.5886438,0.7412447,0.67554,0.56414
0.001,0.5868914,0.7326128,0.67658,0.5633
0.001,0.58532345,0.73177165,0.67969334,0.55996
0.001,0.58488744,0.744069,0.6795933,0.56446
0.001,0.58298016,0.75931937,0.68112,0.56396
0.001,0.58208114,0.7501872,0.68167335,0.56304
0.001,0.5813289,0.7390287,0.68241334,0.5621
0.001,0.57884693,0.73334813,0.68458,0.56338
0.001,0.5784323,0.7373369,0.68498665,0.56206
0.001,0.5766495,0.7417867,0.68541336,0.5605
0.001,0.5764646,0.75439173,0.68605334,0.56518
0.001,0.57469296,0.7458664,0.68685335,0.56208
0.001,0.57411903,0.75500405,0.68854666,0.56212
0.001,0.57184803,0.7582228,0.68858,0.55944
0.001,0.5720085,0.75422055,0.68958664,0.56402
0.001,0.56965905,0.75733817,0.6915467,0.55866
0.001,0.5699464,0.75528836,0.69026,0.56308
0.001,0.5683965,0.7599087,0.6934467,0.55804
0.001,0.5661811,0.7709792,0.6939267,0.55638
0.001,0.56483513,0.7640871,0.6960933,0.5566
0.001,0.56460947,0.7639254,0.69612,0.56234
0.001,0.5636325,0.767329,0.6963933,0.56244
0.001,0.56306225,0.75404143,0.6966533,0.55832
0.001,0.56304353,0.7775578,0.69796,0.55938
0.001,0.5640753,0.76854885,0.697,0.55736
0.001,0.56100416,0.7687134,0.69769335,0.55626
0.001,0.55987626,0.7770886,0.6994333,0.56004
0.001,0.55928,0.7735278,0.70056665,0.5551
0.001,0.56016123,0.7774941,0.6994,0.55928
0.001,0.5582577,0.77486384,0.70181334,0.55718
0.001,0.55837786,0.7703546,0.70014,0.5575
0.001,0.5559066,0.76770806,0.7022,0.55408
0.001,0.5540027,0.78771985,0.70476,0.55762
0.001,0.55471075,0.7830339,0.70416,0.5566
0.001,0.5547074,0.77878904,0.70375335,0.558
0.001,0.5539051,0.78598005,0.70475334,0.55624
0.001,0.5541605,0.77642274,0.70462,0.55954
0.001,0.55270326,0.7616897,0.7055333,0.5572
0.001,0.55197746,0.76926625,0.70573336,0.56106
0.001,0.5518495,0.78418684,0.7067867,0.55514
0.001,0.55177575,0.7863989,0.7057667,0.5583
0.001,0.55092883,0.76909477,0.70753336,0.5576
0.001,0.55035543,0.7796572,0.70782,0.55578
0.001,0.5501212,0.78787094,0.70838666,0.55244
0.001,0.54872346,0.7910402,0.7076067,0.56184
0.001,0.5484063,0.7928324,0.70832664,0.55458
0.001,0.5464142,0.7930338,0.71038,0.5547
0.001,0.54707193,0.8023185,0.71019334,0.55646
0.001,0.5472457,0.7799334,0.70898664,0.5537
0.001,0.5472864,0.7905233,0.7091467,0.55686
