learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.69321615,0.6929994,0.50143665,0.50948
0.001,0.6930156,0.69290227,0.5073234,0.51138
0.001,0.6929253,0.69287294,0.50917006,0.50812
0.001,0.69286656,0.69277275,0.50949675,0.5098
0.001,0.6927908,0.6927695,0.51067674,0.51
0.001,0.69276893,0.69275343,0.5115101,0.51192
0.001,0.6927286,0.6926934,0.51103675,0.51124
0.001,0.6926895,0.692702,0.5128167,0.51248
0.001,0.6927062,0.6927201,0.5110634,0.51138
0.001,0.69265074,0.6928046,0.5129234,0.512
0.001,0.6926624,0.6926436,0.51225007,0.51132
0.001,0.6921746,0.6904904,0.51845014,0.53228
0.001,0.690102,0.68949044,0.5335836,0.53706
0.001,0.68869895,0.68841374,0.5410703,0.53824
0.001,0.68742895,0.6882096,0.54596364,0.54376
0.001,0.6871106,0.6874865,0.54699033,0.54512
0.001,0.68647766,0.68788606,0.548217,0.54458
0.001,0.6864501,0.68767685,0.54651034,0.53762
0.001,0.6857508,0.6897289,0.5482237,0.54132
0.001,0.685754,0.68705076,0.54827696,0.54324
0.001,0.685432,0.6874833,0.54933697,0.544
0.001,0.6851374,0.6885681,0.5507437,0.54
0.001,0.68478453,0.68784755,0.55135703,0.54162
0.001,0.6846241,0.68706274,0.550417,0.54458
0.001,0.6840512,0.6874139,0.5540037,0.54268
0.001,0.6839258,0.68715787,0.5529637,0.5422
0.001,0.68361753,0.68717974,0.55421036,0.5456
0.001,0.6829329,0.6880602,0.5551104,0.54344
0.001,0.6828473,0.6876259,0.55625707,0.5441
0.001,0.6823955,0.690105,0.5562237,0.54378
0.001,0.68182427,0.68786865,0.5572104,0.54332
0.001,0.68121004,0.6880529,0.5591837,0.54406
0.001,0.6809524,0.68806297,0.55883706,0.54512
0.001,0.6804236,0.68870854,0.55912375,0.54456
0.001,0.6797284,0.68888205,0.5612704,0.54468
0.001,0.6790926,0.68948966,0.56184375,0.5434
0.001,0.67859334,0.68961155,0.5624504,0.54452
0.001,0.6779106,0.69174564,0.5647304,0.54168
0.001,0.6774604,0.689986,0.5643638,0.54266
0.001,0.6767195,0.69174546,0.5641704,0.544
0.001,0.6763056,0.69248915,0.5666638,0.54354
0.001,0.67573094,0.6916992,0.56819046,0.54476
0.001,0.675132,0.6926037,0.56819713,0.54194
0.001,0.6744094,0.69640774,0.56885713,0.53704
0.001,0.673478,0.6934719,0.5708505,0.5418
0.001,0.6728719,0.69488996,0.57161045,0.54166
0.001,0.67186373,0.6970502,0.5720571,0.54142
0.001,0.67183214,0.6928233,0.5722438,0.53892
0.001,0.6706848,0.69487107,0.5741438,0.54034
0.001,0.6702371,0.69755137,0.57544386,0.53996
0.001,0.66894287,0.69740427,0.5765105,0.54096
0.001,0.6690266,0.6983479,0.5762438,0.53874
0.001,0.66809857,0.6994474,0.5785239,0.5376
0.001,0.66707295,0.70078874,0.57832384,0.54138
0.001,0.66672534,0.7022308,0.5795172,0.53598
0.001,0.66601604,0.701605,0.58143055,0.5374
0.001,0.665326,0.69928056,0.58030385,0.53978
0.001,0.66427577,0.70353496,0.5831106,0.53696
0.001,0.6639959,0.707833,0.5824839,0.53428
0.001,0.66302,0.7036124,0.5831372,0.53648
0.001,0.66220254,0.7067461,0.58375055,0.53604
0.001,0.6614914,0.7043599,0.5871106,0.53596
0.001,0.6606443,0.7081684,0.58723724,0.5347
0.001,0.6598002,0.7065095,0.5873973,0.53428
0.001,0.6596676,0.7082018,0.5864639,0.53546
0.001,0.65833104,0.7105303,0.58951724,0.53582
0.001,0.65810335,0.7141508,0.58921725,0.53452
0.001,0.657366,0.71836174,0.5911039,0.53338
0.001,0.6569855,0.71020657,0.5902239,0.53348
0.001,0.6563353,0.7107024,0.5922306,0.5359
0.001,0.6554707,0.7124867,0.593264,0.5333
0.001,0.65368515,0.7142995,0.59471065,0.53468
0.001,0.65415734,0.7147118,0.59339064,0.53488
0.001,0.6533437,0.71367425,0.59505063,0.53432
0.001,0.6526501,0.7102309,0.595464,0.53428
0.001,0.65224826,0.7204115,0.5951573,0.53272
0.001,0.65110934,0.7146738,0.5971573,0.53322
0.001,0.6508935,0.7181422,0.597564,0.5291
0.001,0.6506695,0.72716475,0.597144,0.534
0.001,0.6487895,0.7212577,0.59977067,0.53374
0.001,0.64923924,0.7214431,0.5986973,0.53134
0.001,0.6479742,0.71842563,0.600944,0.53414
0.001,0.64737684,0.72358304,0.6003907,0.5325
0.001,0.64732575,0.7203692,0.60139734,0.53358
0.001,0.64723784,0.7351807,0.60091066,0.53196
0.001,0.64536244,0.7271463,0.6028774,0.5318
0.001,0.64550596,0.7290234,0.60275066,0.53068
0.001,0.64468825,0.7285384,0.60271066,0.53028
0.001,0.6442829,0.7344267,0.6042774,0.53394
0.001,0.6449805,0.72747856,0.60406405,0.53052
0.001,0.6434218,0.72638357,0.606324,0.5301
0.001,0.6428152,0.7312778,0.6057107,0.53256
0.001,0.6426286,0.7313251,0.60623735,0.53232
0.001,0.6419795,0.72553676,0.60663736,0.531
0.001,0.6413418,0.73649615,0.6084507,0.52684
0.001,0.64056784,0.7346249,0.607204,0.53192
0.001,0.6405012,0.74005216,0.6083441,0.53158
0.001,0.64082956,0.74021876,0.60843074,0.52902
0.001,0.63953835,0.7339871,0.60864407,0.52658
0.001,0.63901263,0.73082125,0.61019075,0.5318
