learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.69313174,0.69314665,0.50582665,0.49954
0.001,0.69296247,0.6929872,0.50739336,0.5048
0.001,0.6929337,0.69287795,0.5090333,0.50818
0.001,0.69282883,0.6930862,0.51075333,0.5074
0.001,0.6927685,0.6928573,0.51122665,0.5081
0.001,0.69274586,0.6927368,0.5123133,0.51368
0.001,0.69267356,0.69277316,0.51207334,0.50894
0.001,0.6926783,0.69284016,0.51216,0.51168
0.001,0.6926306,0.6926966,0.5119333,0.51338
0.001,0.692577,0.69260967,0.51394,0.5101
0.001,0.69252557,0.692568,0.51532,0.51396
0.001,0.69248664,0.69250923,0.51559335,0.51548
0.001,0.6923914,0.69234073,0.51596,0.51544
0.001,0.69163346,0.69049406,0.5225267,0.52956
0.001,0.6907214,0.69076955,0.52936,0.5277
0.001,0.6904176,0.69037473,0.53062,0.53028
0.001,0.6902369,0.6904473,0.53102666,0.5289
0.001,0.6900939,0.6903226,0.53258,0.52974
0.001,0.68976116,0.6902372,0.5344,0.53084
0.001,0.6897898,0.6902713,0.533,0.53214
0.001,0.6895403,0.69011897,0.5346867,0.53338
0.001,0.6894095,0.69134957,0.53469336,0.5264
0.001,0.68926585,0.6904896,0.53602,0.53056
0.001,0.6894996,0.6909397,0.5353133,0.52886
0.001,0.68914074,0.6898448,0.5363467,0.53422
0.001,0.6889391,0.6899841,0.5376,0.5339
0.001,0.6887568,0.690126,0.5369667,0.53272
0.001,0.68853104,0.69010687,0.5377733,0.53336
0.001,0.68829536,0.69269586,0.5388333,0.52608
0.001,0.6883639,0.690622,0.53930664,0.53214
0.001,0.68796295,0.69014174,0.54135334,0.53406
0.001,0.6878955,0.69098395,0.54127336,0.53042
0.001,0.6874744,0.690675,0.5419267,0.52792
0.001,0.6872487,0.6904009,0.54348,0.53244
0.001,0.68706524,0.6906611,0.54322,0.53384
0.001,0.6868191,0.6909119,0.54502,0.52996
0.001,0.6864233,0.69207984,0.54522,0.53058
0.001,0.68622345,0.6911001,0.54675335,0.5331
0.001,0.68602556,0.6931556,0.54558665,0.52948
0.001,0.68597704,0.6911427,0.5461533,0.5298
0.001,0.68563557,0.69210273,0.5481667,0.53064
0.001,0.6850603,0.69213426,0.54878,0.53228
0.001,0.6848522,0.6918393,0.55082,0.53414
0.001,0.68464476,0.6930239,0.55002666,0.53242
0.001,0.6841521,0.6930709,0.55282664,0.52926
0.001,0.6835466,0.69875926,0.5526867,0.52366
0.001,0.6835001,0.6961431,0.55190665,0.52656
0.001,0.6832066,0.6932499,0.55425334,0.53302
0.001,0.6826258,0.6935116,0.5554733,0.5326
0.001,0.6820793,0.69260144,0.55832,0.53012
0.001,0.6816722,0.694199,0.5573133,0.53302
0.001,0.6811556,0.6933021,0.55922,0.5335
0.001,0.6801417,0.69545686,0.56054,0.53122
0.001,0.68005663,0.6957169,0.5608733,0.53264
0.001,0.67921185,0.6978538,0.56423336,0.53178
0.001,0.6792518,0.69553125,0.5625,0.53142
0.001,0.6789683,0.6969482,0.56422,0.53192
0.001,0.6783767,0.69790864,0.56553334,0.52824
0.001,0.67748874,0.7020186,0.5669133,0.52474
0.001,0.67701155,0.6983669,0.56737334,0.53008
0.001,0.67637485,0.69750595,0.5668667,0.53162
0.001,0.67619073,0.6989704,0.56894,0.5288
0.001,0.675436,0.70031476,0.5691533,0.5294
0.001,0.67434657,0.6977386,0.57026,0.52662
0.001,0.673975,0.70372427,0.57077336,0.5276
0.001,0.6734616,0.7036027,0.57294,0.52778
0.001,0.6736199,0.7002542,0.57102,0.52956
0.001,0.67272234,0.70297766,0.57390666,0.52792
0.001,0.6723182,0.70277727,0.57468665,0.52766
0.001,0.6717851,0.70005757,0.5745533,0.53192
0.001,0.6707066,0.70176446,0.57662,0.5286
0.001,0.67074805,0.70040804,0.5769,0.52752
0.001,0.67003864,0.7052561,0.57794666,0.52834
0.001,0.66970557,0.70588404,0.5778,0.52814
0.001,0.66861975,0.708134,0.582,0.52816
0.001,0.6681609,0.7068909,0.5805333,0.52756
0.001,0.6676064,0.70581,0.5802867,0.52912
0.001,0.6670877,0.7048254,0.58195335,0.52688
0.001,0.6668888,0.7078883,0.5821933,0.52924
0.001,0.6665312,0.706075,0.58304,0.52942
0.001,0.66512746,0.7086429,0.5836267,0.5285
0.001,0.6646238,0.70550555,0.58448666,0.52804
0.001,0.664544,0.70781624,0.58602667,0.52638
0.001,0.6644468,0.71139354,0.58462,0.5284
0.001,0.6638734,0.7087914,0.58595335,0.52866
0.001,0.66291875,0.7100655,0.5878533,0.52522
0.001,0.6626083,0.7128189,0.58882666,0.52588
0.001,0.66273135,0.7074566,0.58778,0.5304
0.001,0.660945,0.71484816,0.59042,0.52932
0.001,0.66108924,0.7115333,0.5901733,0.52558
0.001,0.660505,0.7130629,0.59136665,0.52776
0.001,0.6596009,0.71341944,0.59152,0.52584
0.001,0.6591637,0.7245416,0.59239334,0.52444
0.001,0.6614367,0.7169549,0.59002,0.52686
0.001,0.6585924,0.7097136,0.59474,0.52858
0.001,0.65860665,0.7157123,0.59342664,0.52784
0.001,0.65964556,0.7161582,0.5914533,0.52596
0.001,0.657057,0.71623045,0.59538,0.52412
0.001,0.656192,0.7172597,0.59621334,0.52664
0.001,0.6567881,0.71965593,0.5939533,0.52726
