learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.68628865,0.67596036,0.5386977,0.572496
0.001,0.67278886,0.6689253,0.58123106,0.588512
0.001,0.6674543,0.66459435,0.59053904,0.595788
0.001,0.66234195,0.6605004,0.5992644,0.602492
0.001,0.6591043,0.65761125,0.60445374,0.605332
0.001,0.6570613,0.6559692,0.60751975,0.60896
0.001,0.6556637,0.65613776,0.6094084,0.60925
0.001,0.65458053,0.654963,0.6109311,0.61049
0.001,0.6537218,0.6544574,0.61205506,0.610936
0.001,0.65289795,0.65386194,0.61264974,0.611704
0.001,0.65197355,0.6522344,0.6145364,0.613446
0.001,0.65128523,0.6564438,0.6154424,0.609462
0.001,0.65070885,0.6531043,0.61571443,0.611762
0.001,0.649893,0.65236855,0.6171184,0.613432
0.001,0.6495669,0.6519539,0.6172191,0.614086
0.001,0.6541005,0.6516513,0.61073244,0.614822
0.001,0.6490192,0.6516863,0.61790174,0.614324
0.001,0.6484554,0.6512003,0.6186718,0.614956
0.001,0.6479674,0.65080994,0.6197624,0.61572
0.001,0.64755917,0.65119183,0.61973643,0.614854
0.001,0.6473205,0.65067,0.62022644,0.615782
0.001,0.64681643,0.6519678,0.62072176,0.614282
0.001,0.65884995,0.6597675,0.60426843,0.603742
0.001,0.66123384,0.65757066,0.6005924,0.606516
0.001,0.6534884,0.66065884,0.61214644,0.60192
0.001,0.6526117,0.65265423,0.61341107,0.613382
0.001,0.6514692,0.6533157,0.6149111,0.612636
0.001,0.6497587,0.6529613,0.6170104,0.613544
0.001,0.64780176,0.65249765,0.61949706,0.613906
0.001,0.64701617,0.651643,0.6205217,0.614792
0.001,0.6467711,0.65284395,0.62075907,0.61313
0.001,0.6505232,0.6512532,0.61589974,0.615136
0.001,0.64692605,0.65176183,0.62064105,0.615676
0.001,0.6460768,0.6515461,0.6213044,0.615548
0.001,0.64546496,0.65152764,0.62212574,0.614088
0.001,0.6453277,0.6510054,0.6220024,0.615348
0.001,0.6450039,0.6508878,0.62265575,0.61585
0.001,0.64467937,0.6533634,0.6231651,0.61266
0.001,0.644481,0.6511555,0.6231264,0.615596
0.001,0.6443113,0.651942,0.6238931,0.615194
0.001,0.6442056,0.6507428,0.6240624,0.616218
0.001,0.64387655,0.65284836,0.6245384,0.614278
0.001,0.64370805,0.6515386,0.6243364,0.61672
0.001,0.6436477,0.6513663,0.6244871,0.614952
0.001,0.6432136,0.6497019,0.62498707,0.617178
0.001,0.64323515,0.6501322,0.6245404,0.616852
0.001,0.6433005,0.65055597,0.62509173,0.61617
0.001,0.6429807,0.65022486,0.6252884,0.616848
0.001,0.6426986,0.65059453,0.62546706,0.61674
0.001,0.6427267,0.65084255,0.6257471,0.616074
0.001,0.64305186,0.65018034,0.62531173,0.61661
0.001,0.6425046,0.6507604,0.6256104,0.616196
0.001,0.6422103,0.65019035,0.6266384,0.61612
0.001,0.6423022,0.6498509,0.6262011,0.61685
0.001,0.64233375,0.65054667,0.62625575,0.617378
0.001,0.64232415,0.6506286,0.6258938,0.61667
0.001,0.6425902,0.6506957,0.62565243,0.616308
0.001,0.6426684,0.65258616,0.62583244,0.614024
0.001,0.64238936,0.6497531,0.62609506,0.617364
0.001,0.64214784,0.64971554,0.62668306,0.617424
0.001,0.6436043,0.65099025,0.62463176,0.616566
0.001,0.64243394,0.6493588,0.62609774,0.618238
0.001,0.6418679,0.65166914,0.6269131,0.617198
0.001,0.64184165,0.6495704,0.6270977,0.617052
0.001,0.6416569,0.6515506,0.62667507,0.615966
0.001,0.6446521,0.650734,0.6229031,0.61739
0.001,0.6431284,0.6503647,0.62500775,0.617046
0.001,0.6422199,0.6498442,0.6260751,0.616532
0.001,0.6423627,0.65495,0.6257458,0.609742
0.001,0.64169735,0.64943534,0.62706107,0.617866
0.001,0.6412341,0.6503247,0.6273618,0.617314
0.001,0.64116824,0.6491247,0.62764573,0.61816
0.001,0.64138514,0.65113187,0.6271271,0.617868
0.001,0.641004,0.6505272,0.6279171,0.617454
0.001,0.6504249,0.6616394,0.6150764,0.606948
0.001,0.6511921,0.6507806,0.6153804,0.616738
0.001,0.6427995,0.65075344,0.6255937,0.617956
0.001,0.641677,0.64924484,0.6271391,0.61844
0.001,0.6414019,0.648935,0.6269831,0.618554
0.001,0.6411356,0.6503705,0.6273771,0.616086
0.001,0.66894126,0.6883548,0.57643306,0.539804
0.001,0.6758308,0.6610037,0.5714564,0.60157
0.001,0.65104634,0.6513388,0.6151617,0.615766
0.001,0.64484155,0.64979786,0.62327373,0.617196
0.001,0.6435181,0.6492579,0.6248937,0.61702
0.001,0.6427598,0.65017265,0.62569106,0.616534
0.001,0.6424656,0.650663,0.6256211,0.615686
0.001,0.6422987,0.6483786,0.6262451,0.619104
0.001,0.6418845,0.64895004,0.6268664,0.618068
0.001,0.6418307,0.64984685,0.6267571,0.617322
0.001,0.64181167,0.6490659,0.6266911,0.618772
0.001,0.64158785,0.6490328,0.62671906,0.61791
0.001,0.6534157,0.6736962,0.6080764,0.579372
0.001,0.6628669,0.6833509,0.59561706,0.55714
0.001,0.6574899,0.6508694,0.6030877,0.616364
0.001,0.6430517,0.6512807,0.62541777,0.616034
0.001,0.64254636,0.64891636,0.62534374,0.618306
0.001,0.64197266,0.6493153,0.6263231,0.617502
0.001,0.64164376,0.6496063,0.62682444,0.617296
0.001,0.6488324,0.65040445,0.61765844,0.616902
