learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.66089416,0.6355325,0.59896386,0.63793224
0.001,0.62056595,0.6123171,0.6484247,0.6533442
0.001,0.60495216,0.6044037,0.661835,0.66013587
0.001,0.59855723,0.5970845,0.66708857,0.6679838
0.001,0.59406865,0.5913187,0.67100275,0.6724521
0.001,0.59054774,0.59239197,0.6736295,0.6742057
0.001,0.5877178,0.59143656,0.6757238,0.67414695
0.001,0.58549297,0.58822435,0.6775646,0.67449766
0.001,0.58357096,0.58385366,0.6794629,0.6783355
0.001,0.5821993,0.588868,0.6803604,0.67819154
0.001,0.5808634,0.58539146,0.6813335,0.6786882
0.001,0.5797724,0.5838553,0.6821708,0.6779219
0.001,0.57887053,0.5827946,0.6828702,0.6796877
0.001,0.57801354,0.58500314,0.6836906,0.67707443
0.001,0.57710445,0.58162,0.684159,0.6797141
0.001,0.57643074,0.58219033,0.68489486,0.67976475
0.001,0.57598895,0.5815232,0.68490297,0.68140894
0.001,0.57541984,0.5804805,0.685718,0.68135214
0.001,0.5746483,0.5802972,0.6861816,0.68072367
0.001,0.5741054,0.58176905,0.6868716,0.68012357
0.001,0.573772,0.58122617,0.68684655,0.6808433
0.001,0.5734126,0.584051,0.68732977,0.6794951
0.001,0.57275534,0.585896,0.6875764,0.6796046
0.001,0.57245725,0.58123034,0.68794066,0.68145555
0.001,0.57219416,0.579518,0.6881326,0.6816218
0.001,0.57155097,0.5809023,0.68833464,0.68222594
0.001,0.57136226,0.58001643,0.68883336,0.6821449
0.001,0.5710523,0.58198965,0.68906045,0.680375
0.001,0.57071596,0.58074087,0.6889902,0.68035066
0.001,0.57052845,0.5809477,0.6893828,0.6812366
0.001,0.57023793,0.5812985,0.68955576,0.6800405
0.001,0.5700153,0.5818571,0.689845,0.6802837
0.001,0.5699895,0.58031327,0.69004166,0.68157315
0.001,0.569581,0.58105415,0.69005316,0.6799918
0.001,0.56926274,0.5813111,0.6903384,0.679635
0.001,0.56899744,0.5810841,0.6905938,0.6810724
0.001,0.5689015,0.58194655,0.69068706,0.68217933
0.001,0.56875247,0.5804322,0.690779,0.68197864
0.001,0.56871474,0.5825726,0.69060326,0.68071353
0.001,0.56839657,0.5792546,0.69072556,0.68206984
0.001,0.5683489,0.58147806,0.6910121,0.681788
0.001,0.5678949,0.5841136,0.6918271,0.6807764
0.001,0.56770253,0.57968426,0.6916832,0.682155
0.001,0.56778413,0.5809639,0.69160545,0.68130755
0.001,0.5675274,0.5799868,0.6918812,0.68128526
0.001,0.5673328,0.57984734,0.6917528,0.68123865
0.001,0.56732833,0.58258647,0.692017,0.68149203
0.001,0.56718856,0.5811475,0.6915784,0.682005
0.001,0.56710035,0.58123016,0.6919663,0.68180627
0.001,0.5668518,0.5802595,0.69217175,0.6822523
0.001,0.5667831,0.5833278,0.692163,0.68113524
0.001,0.5665188,0.58215636,0.6926826,0.6803324
0.001,0.56655705,0.5812247,0.6926225,0.6810724
0.001,0.5663508,0.5813791,0.6927874,0.68052906
0.001,0.56633556,0.58046585,0.6929786,0.68160355
0.001,0.5662394,0.5795757,0.6926009,0.6811109
0.001,0.5661057,0.5805429,0.69282526,0.68159544
0.001,0.5660168,0.58109343,0.6929063,0.68201107
0.001,0.5660845,0.58071685,0.6928766,0.6824672
0.001,0.5657395,0.5795524,0.69313204,0.68197256
0.001,0.56573486,0.5817005,0.6930996,0.680896
0.001,0.56563026,0.5856365,0.6931719,0.6773968
0.001,0.5654641,0.5807435,0.69311315,0.6806629
0.001,0.5653686,0.57945955,0.693522,0.68165016
0.001,0.5654112,0.5823505,0.6935159,0.6807663
0.001,0.56516653,0.5808332,0.69368076,0.6813603
0.001,0.5651487,0.58110046,0.6935977,0.68126094
0.001,0.5651186,0.5793048,0.69372606,0.68192184
0.001,0.5650811,0.5816875,0.69365716,0.6809913
0.001,0.564892,0.5810464,0.6936977,0.681857
0.001,0.5650745,0.5815944,0.6936666,0.680821
0.001,0.5649276,0.5825657,0.6941113,0.6810541
0.001,0.5646906,0.5800064,0.6936625,0.6811555
0.001,0.56462723,0.58233166,0.693818,0.6819827
0.001,0.5645472,0.58239627,0.6943329,0.6802128
0.001,0.5642623,0.5827601,0.6940788,0.68082505
0.001,0.5641918,0.5797197,0.69460934,0.68270034
0.001,0.56453145,0.5835893,0.694145,0.6803223
0.001,0.56430376,0.5814161,0.6943958,0.6813826
0.001,0.5640876,0.5804045,0.6946728,0.68242264
0.001,0.5640559,0.5813237,0.6945985,0.68164206
0.001,0.56389934,0.58024406,0.6943971,0.6810866
0.001,0.5639143,0.58195794,0.6947411,0.6810541
0.001,0.56375825,0.58198094,0.694589,0.6801804
0.001,0.56384003,0.57939696,0.6942255,0.682301
0.001,0.56387496,0.5799279,0.6948702,0.6818286
0.001,0.56392086,0.58063775,0.6941565,0.6812974
0.001,0.5635898,0.5825224,0.6946918,0.68220365
0.001,0.5635576,0.5787406,0.6949364,0.6829477
0.001,0.56360465,0.5796951,0.6945762,0.6815468
0.001,0.5636745,0.57971936,0.695056,0.6825321
0.001,0.56336045,0.57867014,0.6950445,0.6827835
0.001,0.5632434,0.57961756,0.69488436,0.6826233
0.001,0.56305116,0.58152044,0.69532835,0.6816928
0.001,0.56331193,0.57896996,0.6953405,0.68280375
0.001,0.56297976,0.5814234,0.69550204,0.68125486
0.001,0.56305915,0.5798455,0.6953432,0.68248546
0.001,0.56291324,0.5789681,0.69548106,0.6834606
0.001,0.5629777,0.5818732,0.69537026,0.6815062
0.001,0.56292593,0.57874125,0.69562435,0.68341804
