learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.68944174,0.6873618,0.54136,0.5547672
0.001,0.6862017,0.68544394,0.54738784,0.5426237
0.001,0.68505955,0.6843434,0.5479758,0.55211145
0.001,0.6728229,0.6663838,0.58035827,0.5938127
0.001,0.6671069,0.663485,0.5919409,0.5965901
0.001,0.66195524,0.65572655,0.5996986,0.60948366
0.001,0.6572318,0.65343076,0.6078618,0.61232185
0.001,0.65465546,0.65083176,0.6092944,0.6154236
0.001,0.6514219,0.6501843,0.61449105,0.61485595
0.001,0.64917976,0.6486052,0.61599123,0.6163156
0.001,0.64660746,0.64684623,0.61937004,0.61666024
0.001,0.6441601,0.64390004,0.62095135,0.623107
0.001,0.64098966,0.64401233,0.6254722,0.6259047
0.001,0.6377346,0.6426717,0.62930375,0.6226002
0.001,0.6344035,0.6432545,0.6322501,0.62659395
0.001,0.6311352,0.6467118,0.63536537,0.6175928
0.001,0.6280441,0.64554447,0.63812923,0.62168795
0.001,0.62566674,0.6361838,0.64171076,0.63271636
0.001,0.62277085,0.6363572,0.6433258,0.6320676
0.001,0.61933327,0.63452286,0.6463938,0.63295966
0.001,0.61695147,0.63745284,0.6504619,0.63277715
0.001,0.61372584,0.6440574,0.6524959,0.62740487
0.001,0.6102619,0.63688284,0.65551656,0.63354754
0.001,0.6079761,0.63966197,0.65882784,0.632838
0.001,0.6055505,0.63890016,0.66000366,0.62823606
0.001,0.60259587,0.6366411,0.6631257,0.63004035
0.001,0.5990638,0.6393377,0.66488266,0.63302046
0.001,0.5960609,0.64307225,0.66761273,0.6281144
0.001,0.5939716,0.64547753,0.67040366,0.6294524
0.001,0.5908673,0.6527874,0.6741271,0.6314594
0.001,0.58828664,0.6474914,0.67517453,0.629047
0.001,0.58558685,0.64778864,0.6774383,0.62876314
0.001,0.5834172,0.6545958,0.6789588,0.62361383
0.001,0.57974786,0.66372466,0.6812429,0.6227016
0.001,0.5779634,0.6673344,0.6839256,0.62219477
0.001,0.5751129,0.68140924,0.6855542,0.6234922
0.001,0.57309073,0.66483766,0.6866963,0.6268778
0.001,0.57042474,0.6626193,0.68907493,0.6235733
0.001,0.567913,0.68497366,0.69079816,0.62284344
0.001,0.56602293,0.6776737,0.691974,0.617755
0.001,0.563054,0.689878,0.6937512,0.6242018
0.001,0.5610097,0.669884,0.6953798,0.6206337
0.001,0.5581889,0.6679392,0.69768417,0.6227624
0.001,0.55645055,0.69500154,0.69878566,0.6206946
0.001,0.5541308,0.677315,0.7009616,0.6217285
0.001,0.55222225,0.6811987,0.70121163,0.620877
0.001,0.5501361,0.6921054,0.7047526,0.61605203
0.001,0.54826015,0.6880003,0.70556355,0.62225556
0.001,0.54708016,0.71444356,0.70538783,0.61597097
0.001,0.5445222,0.69107914,0.70740837,0.6203296
0.001,0.5442895,0.6878788,0.70766515,0.61947817
0.001,0.54101527,0.70623183,0.7090843,0.62077564
0.001,0.5395279,0.68858415,0.7118887,0.6157885
0.001,0.53873277,0.7093811,0.7128145,0.62134326
0.001,0.53642416,0.7012923,0.71355104,0.61396396
0.001,0.5350326,0.7179338,0.714416,0.61686295
0.001,0.5332461,0.7110601,0.7160852,0.6141464
0.001,0.5322979,0.7065788,0.7178489,0.617086
0.001,0.52990925,0.7119483,0.71820706,0.6175523
0.001,0.52837956,0.7316998,0.71974105,0.6143086
0.001,0.52945065,0.742235,0.71834224,0.6133152
0.001,0.5283431,0.7249563,0.7192545,0.6132544
0.001,0.5262522,0.70124066,0.7217954,0.6146532
0.001,0.5232687,0.72447336,0.72288334,0.61074054
0.001,0.5219315,0.728626,0.7246809,0.6120583
0.001,0.5228934,0.72686493,0.7240862,0.61224073
0.001,0.51994044,0.74183464,0.7262757,0.61402476
0.001,0.5190589,0.7385252,0.7262689,0.6120583
0.001,0.5211536,0.70726556,0.72485656,0.6131733
0.001,0.51782376,0.74811167,0.7267487,0.6103351
0.001,0.5173432,0.724352,0.7271812,0.61074054
0.001,0.51753426,0.738076,0.7281475,0.6114704
0.001,0.5146259,0.75803876,0.730587,0.6107203
0.001,0.51462877,0.72883594,0.72977614,0.6112677
