trialIndex,numUnstable,numNM1,numNM2,matchingAM,matchingGM,unstableAM,unstableGM,unstableRAM,nm1AM,nm1GM,nm1RAM,nm2GenAM,nm2GenGM,nm2GenRAM,nm2AM,nm2GM,nm2RAM,numEdges,numSingletons,numChains,numCycles,avgChainLen,avgCycleLen,converges
436,1,1,1,"[0.0, 0.0, 0.5, 1.0, 1.0, 1.0, 2.0, 3.0, 3.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 3.0, 3.1622777, 5.2915025]",[3.0],[2.828427],[-2.0],[3.0],[2.828427],[-2.0],[1.5],[1.4142135],[-1.0],[1.5],[1.4142135],[-1.0],0,1,0,0,0.0,0.0,1
837,1,1,1,"[0.0, 0.5, 1.5, 1.5, 2.0, 2.5, 3.0, 4.0, 4.5, 6.5]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 2.0, 2.828427, 2.828427, 3.4641016, 6.4807405]",[4.5],[4.472136],[-2.5],[4.5],[4.472136],[-2.5],[5.0],[5.0],[1.0],[5.0],[5.0],[1.0],0,1,0,0,0.0,0.0,1
26865,3,2,1,"[1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 2.5, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 4.582576]","[2.0, 2.5, 3.5]","[2.0, 2.4494898, 3.4641016]","[-3.0, -2.0, -1.5]","[2.0, 2.5]","[2.0, 2.4494898]","[-3.0, -1.5]","[2.5, 7.5]","[2.0, 7.3484693]","[1.0, 4.0]",[4.0],[2.6457512],[4.0],1,0,1,0,1.0,0.0,0
708,5,3,2,"[0.5, 0.5, 0.5, 1.0, 1.5, 2.0, 3.5, 3.5, 7.0, 7.0]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 2.0, 3.4641016, 3.4641016, 6.928203, 7.0]","[1.0, 1.5, 1.5, 3.5, 5.0]","[0.0, 1.4142135, 1.4142135, 2.4494898, 4.582576]","[-5.0, -3.5, -3.0, -2.5, -1.5]","[1.0, 1.5, 1.5]","[0.0, 1.4142135, 1.4142135]","[-5.0, -3.5, -3.0]","[3.0, 4.5, 5.0]","[0.0, 4.472136, 4.582576]","[-1.0, -0.5, 0.0]","[3.0, 3.0]","[0.0, 2.236068]","[-1.0, 0.0]",1,1,1,0,1.0,0.0,1
913,23,6,1,"[0.5, 2.0, 3.5, 3.5, 4.0, 6.0, 6.5, 6.5, 7.0, 7.0]","[0.0, 0.0, 0.0, 2.4494898, 3.4641016, 5.91608, 6.4807405, 6.4807405, 6.928203, 6.928203]","[0.0, 0.0, 0.0, 0.5, 0.5, 1.5, 2.0, 2.0, 2.5, 2.5, 2.5, 2.5, 3.0, 3.5, 3.5, 4.0, 4.0, 4.5, 4.5, 4.5, 5.0, 5.5, 6.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.7320508, 1.7320508, 2.0, 2.0, 2.4494898, 2.4494898, 3.4641016, 3.4641016, 3.4641016, 3.7416575, 3.8729835, 4.2426405, 4.472136, 5.0, 5.477226, 5.91608]","[-7.5, -6.5, -6.0, -6.0, -5.5, -5.0, -4.5, -4.0, -3.5, -3.5, -3.5, -3.5, -2.5, -2.5, -2.0, -2.0, -2.0, -2.0, -2.0, -1.5, -1.5, -1.5, -1.0]","[0.0, 0.0, 0.0, 0.5, 0.5, 2.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[-7.5, -6.5, -6.0, -6.0, -5.0, -1.5]","[3.5, 4.0, 5.0, 7.5, 7.5, 9.0]","[2.4494898, 3.8729835, 4.0, 7.3484693, 7.483315, 9.0]","[-3.5, -2.0, -1.5, 1.5, 2.0, 5.5]",[2.0],[0.0],[-2.0],5,0,1,0,5.0,0.0,1
82182,4,2,1,"[0.0, 0.0, 1.0, 1.0, 1.5, 2.0, 2.0, 2.0, 2.5, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 2.0, 7.937254]","[1.5, 2.5, 4.0, 4.5]","[0.0, 0.0, 3.4641016, 3.7416575]","[-4.5, -2.0, -1.5, -1.5]","[1.5, 2.5]","[0.0, 0.0]","[-4.5, -2.0]","[1.0, 7.0]","[1.0, 6.708204]","[-3.5, 3.5]",[7.0],[6.708204],[7.0],1,0,1,0,1.0,0.0,0
391,1,1,1,"[0.0, 0.0, 1.5, 1.5, 1.5, 2.0, 2.0, 2.0, 2.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 2.0, 2.0, 5.477226]",[1.0],[0.0],[-2.5],[1.0],[0.0],[-2.5],[3.0],[2.828427],[2.0],[3.0],[2.828427],[2.0],0,1,0,0,0.0,0.0,1
786,1,1,1,"[0.0, 0.5, 0.5, 0.5, 1.5, 2.0, 2.0, 2.5, 3.0, 7.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 2.0, 2.4494898, 6.708204]",[4.5],[4.472136],[-3.0],[4.5],[4.472136],[-3.0],[2.0],[2.0],[-0.5],[2.0],[2.0],[-0.5],0,1,0,0,0.0,0.0,1
9,2,2,1,"[0.0, 0.0, 0.5, 1.5, 2.0, 2.0, 2.5, 3.0, 5.0, 6.5]","[0.0, 0.0, 0.0, 1.4142135, 1.7320508, 2.0, 2.0, 2.828427, 4.0, 6.3245554]","[1.5, 3.0]","[0.0, 0.0]","[-3.0, -2.0]","[1.5, 3.0]","[0.0, 0.0]","[-3.0, -2.0]","[6.5, 6.5]","[6.0, 6.4807405]","[2.0, 3.0]",[5.0],[3.0],[3.5],1,0,1,0,1.0,0.0,1
60587,1,1,1,"[0.5, 1.0, 2.0, 2.0, 3.0, 3.0, 3.5, 3.5, 4.0, 6.0]","[0.0, 0.0, 0.0, 1.7320508, 2.236068, 2.236068, 2.4494898, 3.1622777, 3.8729835, 5.656854]",[2.0],[2.0],[-4.5],[2.0],[2.0],[-4.5],[7.0],[7.0],[4.5],[7.0],[7.0],[4.5],0,1,0,0,0.0,0.0,0
