trialIndex,numUnstable,numNM1,numNM2,matchingAM,matchingGM,unstableAM,unstableGM,unstableRAM,nm1AM,nm1GM,nm1RAM,nm2GenAM,nm2GenGM,nm2GenRAM,nm2AM,nm2GM,nm2RAM,numEdges,numSingletons,numChains,numCycles,avgChainLen,avgCycleLen,converges
347,5,2,1,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.5, 2.0, 3.0, 4.0, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.7320508, 2.828427, 3.8729835, 8.0]","[0.5, 1.5, 2.5, 3.0, 3.5]","[0.0, 0.0, 1.4142135, 2.0, 3.4641016]","[-5.0, -4.0, -3.0, -2.5, -2.0]","[0.5, 1.5]","[0.0, 1.4142135]","[-5.0, -4.0]","[7.5, 8.5]","[7.3484693, 8.485281]","[2.0, 3.0]",[2.5],[0.0],[-0.5],1,0,1,0,1.0,0.0,1
469,3,2,2,"[0.0, 0.5, 0.5, 1.0, 1.5, 3.5, 4.0, 4.5, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 3.0, 3.0, 3.1622777, 3.4641016, 4.2426405]","[2.0, 2.5, 6.0]","[0.0, 1.7320508, 5.91608]","[-4.0, -3.0, -1.5]","[2.0, 6.0]","[1.7320508, 5.91608]","[-4.0, -1.5]","[4.5, 5.5]","[3.7416575, 5.2915025]","[2.0, 3.0]","[4.5, 5.5]","[3.7416575, 5.2915025]","[2.0, 3.0]",0,2,0,0,0.0,0.0,1
845,10,5,3,"[0.0, 0.5, 2.0, 2.0, 3.0, 3.5, 5.0, 5.5, 6.0, 8.0]","[0.0, 0.0, 0.0, 1.7320508, 1.7320508, 2.4494898, 3.0, 4.2426405, 5.196152, 7.937254]","[1.0, 1.0, 1.5, 2.0, 2.0, 3.0, 3.5, 3.5, 4.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 1.7320508, 3.0, 3.1622777, 3.4641016, 4.0]","[-7.5, -5.5, -5.5, -5.0, -4.5, -4.0, -3.0, -2.0, -1.5, -1.0]","[1.0, 1.0, 1.5, 2.0, 3.5]","[0.0, 0.0, 0.0, 1.4142135, 1.7320508]","[-7.5, -4.5, -3.0, -1.5, -1.0]","[3.5, 3.5, 4.0, 4.5, 5.0]","[3.1622777, 3.4641016, 3.8729835, 4.472136, 4.582576]","[-1.5, -0.5, 0.5, 1.5, 2.0]","[3.5, 5.0, 7.5]","[3.4641016, 4.582576, 7.483315]","[0.5, 1.5, 7.0]",2,2,1,0,2.0,0.0,1
93458,5,3,2,"[0.0, 0.0, 0.5, 1.0, 2.0, 3.0, 3.0, 3.5, 3.5, 7.5]","[0.0, 0.0, 0.0, 1.0, 2.0, 2.828427, 3.0, 3.1622777, 3.4641016, 7.3484693]","[2.0, 2.0, 2.5, 3.0, 3.5]","[0.0, 2.0, 2.0, 2.236068, 2.4494898]","[-4.5, -2.5, -2.0, -1.5, -1.5]","[2.0, 2.0, 2.5]","[0.0, 2.0, 2.0]","[-4.5, -1.5, -1.5]","[3.0, 3.0, 5.5]","[0.0, 2.236068, 5.477226]","[-2.5, -1.5, 3.0]","[5.5, 5.5]","[5.2915025, 5.477226]","[3.0, 3.0]",1,1,1,0,1.0,0.0,0
17,7,2,2,"[0.0, 0.5, 1.0, 1.0, 3.0, 4.0, 4.5, 4.5, 5.0, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 3.0, 4.2426405, 5.477226]","[0.5, 1.0, 1.5, 2.5, 3.0, 4.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 2.0, 3.8729835, 4.0]","[-6.0, -5.5, -4.5, -3.5, -3.5, -3.0, -2.5]","[0.5, 3.0]","[0.0, 0.0]","[-5.5, -4.5]","[4.0, 8.0]","[0.0, 7.937254]","[1.5, 6.5]","[4.0, 8.0]","[0.0, 7.937254]","[1.5, 6.5]",0,2,0,0,0.0,0.0,1
879,5,1,1,"[0.0, 0.5, 0.5, 2.0, 2.5, 2.5, 3.0, 4.0, 5.0, 7.5]","[0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.6457512, 3.0, 4.8989797, 7.3484693]","[0.5, 1.0, 2.5, 4.0, 4.0]","[0.0, 1.0, 2.4494898, 3.8729835, 3.8729835]","[-6.0, -5.5, -3.5, -2.5, -1.0]",[0.5],[0.0],[-6.0],[6.5],[6.0],[1.5],[6.5],[6.0],[1.5],0,1,0,0,0.0,0.0,1
562,1,1,1,"[0.0, 0.5, 1.0, 1.0, 1.5, 2.5, 2.5, 3.0, 4.0, 7.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 2.0, 2.0, 6.708204]",[4.0],[3.4641016],[-2.0],[4.0],[3.4641016],[-2.0],[7.0],[7.0],[6.5],[7.0],[7.0],[6.5],0,1,0,0,0.0,0.0,1
964,4,3,1,"[0.5, 0.5, 1.0, 1.0, 1.5, 2.5, 2.5, 3.0, 5.0, 7.5]","[0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 2.0, 2.828427, 4.0, 7.3484693]","[0.5, 1.5, 1.5, 2.0]","[0.0, 0.0, 1.4142135, 1.7320508]","[-5.0, -4.5, -3.5, -3.0]","[0.5, 1.5, 2.0]","[0.0, 0.0, 1.7320508]","[-5.0, -4.5, -3.0]","[3.0, 5.0, 7.0]","[3.0, 4.0, 7.0]","[0.0, 0.0, 1.0]",[4.5],[0.0],[3.0],2,0,1,0,2.0,0.0,1
15538,2,1,1,"[0.0, 0.5, 0.5, 0.5, 1.0, 1.5, 1.5, 3.0, 4.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 4.2426405, 4.8989797]","[1.5, 2.5]","[0.0, 2.4494898]","[-5.5, -3.5]",[1.5],[0.0],[-5.5],[8.5],[8.485281],[5.5],[8.5],[8.485281],[5.5],0,1,0,0,0.0,0.0,0
245,8,3,2,"[0.5, 1.0, 1.0, 1.0, 1.5, 1.5, 4.5, 5.5, 6.0, 6.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 4.472136, 5.196152, 5.2915025, 6.3245554]","[1.5, 1.5, 2.0, 2.5, 3.0, 3.0, 3.5, 4.0]","[0.0, 0.0, 1.7320508, 2.0, 2.236068, 2.4494898, 2.828427, 4.0]","[-5.0, -4.5, -4.0, -3.0, -3.0, -3.0, -2.0, -2.0]","[1.5, 1.5, 3.0]","[0.0, 0.0, 2.828427]","[-5.0, -2.0, -2.0]","[2.5, 4.0, 5.5]","[0.0, 2.0, 4.8989797]","[-4.5, 1.0, 2.0]","[4.0, 4.0]","[0.0, 4.0]","[-3.0, 2.0]",1,1,1,0,1.0,0.0,1
980,3,2,2,"[0.5, 1.0, 1.0, 1.5, 1.5, 2.0, 2.5, 2.5, 4.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 2.0, 2.4494898, 3.4641016, 4.8989797]","[1.0, 2.5, 2.5]","[0.0, 2.0, 2.4494898]","[-2.5, -1.5, -1.0]","[1.0, 2.5]","[0.0, 2.0]","[-1.5, -1.0]","[6.5, 7.0]","[6.3245554, 7.0]","[2.5, 5.5]","[6.5, 7.0]","[6.3245554, 7.0]","[2.5, 5.5]",0,2,0,0,0.0,0.0,1
5277,5,1,1,"[0.5, 0.5, 1.5, 2.0, 2.5, 3.0, 3.5, 3.5, 4.0, 7.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.7320508, 3.1622777, 3.4641016, 7.3484693]","[1.5, 4.0, 4.0, 5.0, 5.5]","[0.0, 2.6457512, 3.4641016, 4.0, 5.477226]","[-5.5, -3.0, -2.5, -2.0, -1.5]",[1.5],[0.0],[-5.5],[5.5],[5.2915025],[2.5],[5.5],[5.2915025],[2.5],0,1,0,0,0.0,0.0,0
318,4,1,1,"[0.0, 0.5, 0.5, 1.0, 1.5, 1.5, 2.0, 3.5, 4.5, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.7320508, 3.1622777, 5.0]","[1.0, 1.5, 2.5, 3.0]","[0.0, 0.0, 0.0, 2.0]","[-6.0, -3.5, -2.5, -2.5]",[1.0],[0.0],[-6.0],[3.0],[2.828427],[0.5],[3.0],[2.828427],[0.5],0,1,0,0,0.0,0.0,1
42668,5,3,2,"[0.0, 0.5, 0.5, 1.0, 2.0, 2.0, 2.5, 5.5, 5.5, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 2.0, 4.8989797, 5.477226, 7.937254]","[1.0, 2.5, 2.5, 3.0, 4.5]","[0.0, 0.0, 2.0, 2.4494898, 2.828427]","[-4.0, -4.0, -3.5, -1.5, -1.0]","[2.5, 2.5, 3.0]","[0.0, 2.0, 2.4494898]","[-4.0, -3.5, -1.5]","[3.5, 3.5, 4.0]","[0.0, 2.4494898, 3.4641016]","[-3.0, -0.5, 2.0]","[3.5, 3.5]","[0.0, 0.0]","[0.5, 2.0]",1,1,1,0,1.0,0.0,0
296,6,2,2,"[0.0, 0.0, 1.0, 1.5, 1.5, 2.5, 3.5, 4.0, 4.5, 4.5]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 2.4494898, 2.6457512, 2.828427, 3.1622777, 4.472136]","[1.0, 1.5, 2.5, 2.5, 2.5, 3.0]","[0.0, 0.0, 0.0, 0.0, 1.4142135, 2.0]","[-5.0, -5.0, -4.5, -2.5, -2.0, -2.0]","[1.5, 2.5]","[0.0, 1.4142135]","[-4.5, -2.5]","[4.0, 6.0]","[4.0, 5.196152]","[2.0, 4.5]","[4.0, 6.0]","[4.0, 5.196152]","[2.0, 4.5]",0,2,0,0,0.0,0.0,1
912,1,1,1,"[0.5, 0.5, 1.0, 1.0, 1.0, 2.0, 2.5, 2.5, 4.5, 4.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 3.7416575]",[2.5],[0.0],[-5.5],[2.5],[0.0],[-5.5],[7.5],[7.3484693],[6.5],[7.5],[7.3484693],[6.5],0,1,0,0,0.0,0.0,1
1002,2,2,2,"[0.5, 0.5, 1.0, 1.0, 1.0, 1.0, 1.5, 3.0, 3.0, 6.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 6.0]","[1.5, 3.5]","[0.0, 0.0]","[-2.0, -2.0]","[1.5, 3.5]","[0.0, 0.0]","[-2.0, -2.0]","[6.0, 8.5]","[5.196152, 8.485281]","[4.0, 8.5]","[6.0, 8.5]","[5.196152, 8.485281]","[4.0, 8.5]",0,2,0,0,0.0,0.0,1
80718,10,3,2,"[1.0, 1.0, 1.5, 2.0, 2.0, 3.0, 3.5, 4.5, 6.5, 7.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 2.4494898, 2.828427, 6.0, 7.483315]","[1.0, 1.5, 2.0, 2.0, 2.5, 3.5, 4.0, 4.0, 4.0, 5.0]","[0.0, 1.0, 1.4142135, 2.0, 2.4494898, 2.4494898, 2.6457512, 3.4641016, 3.8729835, 4.8989797]","[-6.5, -5.5, -4.5, -4.0, -3.0, -3.0, -3.0, -2.5, -2.5, -2.0]","[1.0, 2.0, 2.5]","[1.0, 2.0, 2.4494898]","[-5.5, -4.5, -3.0]","[3.5, 5.5, 7.5]","[3.4641016, 4.8989797, 7.483315]","[2.0, 3.0, 3.5]","[3.5, 6.5]","[3.4641016, 6.4807405]","[3.5, 6.0]",1,1,1,0,1.0,0.0,0
