trialIndex,numUnstable,numNM1,numNM2,matchingAM,matchingGM,unstableAM,unstableGM,unstableRAM,nm1AM,nm1GM,nm1RAM,nm2GenAM,nm2GenGM,nm2GenRAM,nm2AM,nm2GM,nm2RAM,numEdges,numSingletons,numChains,numCycles,avgChainLen,avgCycleLen,converges
469,14,5,3,"[1.5, 1.5, 1.5, 3.0, 3.5, 4.0, 4.5, 5.0, 6.5, 7.0]","[0.0, 1.4142135, 1.4142135, 1.4142135, 2.236068, 2.4494898, 3.0, 3.7416575, 6.0, 7.0]","[0.0, 0.5, 0.5, 1.0, 1.0, 3.0, 3.0, 3.5, 4.5, 4.5, 5.0, 5.5, 6.0, 6.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4494898, 2.828427, 4.2426405, 4.2426405, 4.582576, 5.2915025, 6.0, 6.3245554]","[-6.5, -4.5, -4.5, -4.0, -4.0, -3.5, -3.5, -3.5, -3.5, -2.5, -2.0, -1.5, -1.0, -1.0]","[0.0, 0.5, 0.5, 1.0, 4.5]","[0.0, 0.0, 0.0, 0.0, 4.2426405]","[-6.5, -3.5, -3.5, -3.5, -1.0]","[2.5, 3.0, 4.0, 5.0, 6.0]","[0.0, 0.0, 3.0, 3.4641016, 5.196152]","[-4.0, -0.5, 1.5, 1.5, 3.5]","[3.5, 4.0, 5.0]","[3.0, 3.1622777, 3.4641016]","[0.5, 1.5, 3.5]",2,2,1,0,2.0,0.0,1
505,34,5,3,"[2.0, 3.0, 4.5, 5.5, 5.5, 5.5, 6.5, 7.0, 7.5, 8.0]","[0.0, 0.0, 1.7320508, 4.2426405, 4.2426405, 5.477226, 6.4807405, 6.928203, 7.483315, 7.937254]","[0.0, 0.5, 1.0, 1.0, 1.5, 1.5, 1.5, 1.5, 2.0, 2.0, 2.0, 2.5, 2.5, 2.5, 2.5, 3.0, 3.0, 3.0, 3.5, 3.5, 3.5, 3.5, 3.5, 3.5, 4.0, 4.5, 4.5, 4.5, 5.0, 5.0, 5.5, 5.5, 5.5, 6.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.4142135, 1.4142135, 1.7320508, 1.7320508, 2.0, 2.236068, 2.4494898, 2.4494898, 2.4494898, 2.828427, 2.828427, 3.1622777, 3.1622777, 3.4641016, 3.4641016, 3.8729835, 4.0, 4.472136, 4.472136, 4.8989797, 4.8989797, 5.2915025, 5.2915025, 5.91608]","[-7.0, -7.0, -6.5, -6.5, -6.0, -6.0, -6.0, -6.0, -6.0, -5.5, -5.5, -4.5, -4.5, -4.0, -4.0, -4.0, -4.0, -3.5, -3.5, -3.5, -3.5, -3.5, -3.0, -3.0, -3.0, -3.0, -3.0, -2.5, -2.5, -2.5, -2.0, -2.0, -1.5, -1.0]","[0.0, 0.5, 1.0, 1.5, 2.5]","[0.0, 0.0, 0.0, 1.4142135, 2.0]","[-7.0, -7.0, -5.5, -4.0, -3.5]","[2.5, 2.5, 3.0, 5.5, 7.5]","[0.0, 0.0, 2.236068, 5.477226, 7.483315]","[-6.0, -4.0, 0.0, 1.0, 2.0]","[2.5, 4.5, 7.0]","[0.0, 3.7416575, 6.928203]","[-0.5, 1.0, 1.0]",2,1,2,0,1.0,0.0,1
473,22,6,3,"[1.0, 2.5, 3.0, 4.0, 4.0, 4.5, 5.5, 6.0, 7.0, 9.0]","[0.0, 0.0, 0.0, 2.0, 3.4641016, 3.7416575, 5.2915025, 5.91608, 6.928203, 9.0]","[0.0, 0.5, 0.5, 1.0, 1.5, 1.5, 2.0, 2.0, 2.0, 2.5, 2.5, 3.5, 3.5, 3.5, 3.5, 4.0, 4.0, 4.5, 4.5, 4.5, 4.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.7320508, 1.7320508, 2.0, 2.828427, 3.4641016, 3.4641016, 3.4641016, 3.4641016, 3.4641016, 3.7416575, 4.2426405, 4.2426405, 5.477226]","[-8.0, -6.5, -6.0, -5.0, -4.5, -4.5, -4.0, -4.0, -4.0, -3.5, -3.5, -3.0, -3.0, -3.0, -3.0, -3.0, -2.5, -2.5, -2.5, -1.5, -1.5, -1.0]","[0.0, 0.5, 1.0, 1.5, 3.5, 4.0]","[0.0, 0.0, 0.0, 0.0, 3.4641016, 3.4641016]","[-8.0, -6.0, -4.0, -3.0, -2.5, -1.5]","[1.5, 4.5, 4.5, 5.0, 6.0, 6.5]","[1.4142135, 3.7416575, 4.2426405, 4.8989797, 5.91608, 6.3245554]","[-5.0, -1.0, -0.5, 0.5, 1.5, 3.5]","[4.0, 5.0, 5.5]","[2.6457512, 4.8989797, 5.2915025]","[0.0, 0.5, 4.0]",3,1,2,0,1.5,0.0,1
53652,15,3,3,"[2.0, 3.0, 3.0, 3.0, 3.5, 3.5, 4.0, 5.0, 5.5, 8.5]","[0.0, 0.0, 0.0, 2.236068, 2.236068, 2.6457512, 2.828427, 4.8989797, 4.8989797, 8.485281]","[0.5, 0.5, 1.0, 1.5, 1.5, 2.0, 3.0, 3.0, 3.0, 3.5, 4.0, 4.0, 4.0, 4.0, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.236068, 2.236068, 2.6457512, 2.828427, 3.4641016, 3.4641016, 3.4641016, 3.8729835, 5.2915025]","[-6.5, -6.5, -6.0, -5.0, -5.0, -4.0, -4.0, -3.5, -3.5, -2.5, -2.5, -2.5, -2.5, -2.0, -1.5]","[0.5, 1.0, 2.0]","[0.0, 0.0, 0.0]","[-6.5, -5.0, -2.5]","[2.5, 3.0, 4.0]","[2.0, 2.828427, 3.8729835]","[-2.0, 1.5, 2.0]","[2.5, 3.0, 4.0]","[2.0, 2.828427, 3.8729835]","[-2.0, 1.5, 2.0]",0,3,0,0,0.0,0.0,0
72297,19,6,4,"[2.5, 2.5, 2.5, 4.0, 4.0, 4.0, 4.5, 5.0, 6.0, 7.0]","[2.0, 2.4494898, 2.4494898, 2.6457512, 3.4641016, 3.4641016, 3.7416575, 4.8989797, 6.0, 6.708204]","[0.0, 1.0, 1.0, 1.0, 1.5, 1.5, 1.5, 1.5, 1.5, 2.0, 2.0, 2.0, 2.5, 2.5, 3.0, 3.0, 3.0, 3.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.7320508, 1.7320508, 2.0, 2.0, 2.236068, 2.236068, 2.828427, 2.828427, 4.0]","[-5.5, -5.0, -4.5, -4.0, -4.0, -4.0, -3.5, -3.5, -3.5, -3.0, -2.5, -2.5, -2.5, -2.0, -2.0, -1.5, -1.5, -1.5, -1.0]","[0.0, 1.0, 1.0, 1.0, 1.5, 1.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-5.5, -5.0, -4.0, -2.5, -2.0, -1.5]","[4.5, 5.0, 5.0, 7.0, 7.0, 8.5]","[2.828427, 3.0, 4.582576, 6.708204, 6.708204, 8.485281]","[0.0, 0.0, 0.5, 2.0, 4.0, 6.5]","[4.0, 5.0, 7.0, 7.0]","[3.0, 3.4641016, 6.708204, 6.708204]","[0.5, 1.0, 2.0, 4.0]",2,3,1,0,2.0,0.0,0
614,17,3,1,"[0.0, 0.0, 2.0, 3.0, 4.0, 4.0, 5.5, 6.5, 8.0, 8.5]","[0.0, 0.0, 0.0, 2.6457512, 2.828427, 3.8729835, 4.8989797, 6.4807405, 7.937254, 8.485281]","[0.0, 0.5, 0.5, 0.5, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 3.5, 3.5, 4.0, 4.0, 6.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 1.7320508, 2.236068, 2.4494898, 2.6457512, 2.828427, 2.828427, 3.4641016, 4.0, 6.0]","[-8.5, -7.5, -6.5, -6.5, -5.0, -5.0, -4.5, -4.5, -4.0, -4.0, -4.0, -3.0, -3.0, -3.0, -3.0, -1.5, -1.5]","[0.0, 0.5, 0.5]","[0.0, 0.0, 0.0]","[-8.5, -7.5, -5.0]","[2.5, 3.5, 5.0]","[2.0, 3.0, 3.4641016]","[-4.5, -2.0, 0.5]",[4.0],[3.4641016],[3.5],2,0,1,0,2.0,0.0,1
2916,22,6,3,"[1.5, 2.0, 2.5, 3.0, 3.0, 3.5, 4.0, 5.5, 7.5, 8.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.236068, 4.0, 4.2426405, 7.483315, 7.937254]","[0.5, 1.0, 1.0, 1.0, 1.0, 1.5, 1.5, 1.5, 2.0, 2.0, 2.5, 2.5, 3.0, 3.0, 3.5, 3.5, 3.5, 4.0, 4.0, 4.0, 4.0, 4.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.4142135, 1.4142135, 1.7320508, 2.0, 2.4494898, 2.4494898, 2.828427, 3.4641016, 3.4641016, 3.8729835, 3.8729835, 4.472136]","[-7.5, -7.0, -6.0, -5.5, -4.5, -4.5, -4.5, -4.0, -4.0, -4.0, -3.5, -3.0, -3.0, -3.0, -2.5, -2.5, -2.5, -2.0, -2.0, -1.5, -1.5, -1.5]","[0.5, 1.0, 1.0, 1.0, 1.5, 3.5]","[0.0, 0.0, 1.0, 1.0, 1.0, 1.4142135]","[-7.5, -7.0, -4.5, -4.5, -3.0, -2.0]","[1.5, 4.0, 4.0, 5.0, 7.0, 9.0]","[1.4142135, 2.6457512, 3.8729835, 4.0, 6.928203, 9.0]","[-6.0, -1.5, 0.5, 3.0, 5.0, 8.5]","[4.0, 4.0, 9.0]","[2.6457512, 3.8729835, 9.0]","[3.0, 4.0, 8.5]",3,2,1,0,3.0,0.0,0
28425,23,5,3,"[1.5, 2.5, 3.0, 4.0, 4.0, 5.0, 5.5, 6.0, 6.0, 7.0]","[0.0, 0.0, 2.828427, 3.4641016, 3.8729835, 5.0, 5.196152, 5.477226, 5.656854, 6.708204]","[0.0, 0.5, 1.0, 1.0, 1.5, 1.5, 2.0, 2.0, 2.0, 2.0, 2.0, 2.5, 2.5, 2.5, 2.5, 3.0, 3.0, 3.0, 3.5, 4.0, 4.5, 4.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.4142135, 1.7320508, 1.7320508, 1.7320508, 1.7320508, 2.0, 2.236068, 2.4494898, 2.4494898, 2.4494898, 2.828427, 2.828427, 3.7416575, 3.8729835, 5.2915025]","[-7.0, -6.5, -6.0, -5.0, -4.5, -4.0, -3.5, -3.5, -3.5, -3.5, -3.0, -3.0, -3.0, -3.0, -2.5, -2.5, -2.5, -2.5, -2.0, -2.0, -1.5, -1.0, -1.0]","[0.0, 1.0, 1.0, 1.5, 1.5]","[0.0, 0.0, 0.0, 1.4142135, 1.4142135]","[-7.0, -6.0, -4.0, -3.0, -3.0]","[0.5, 2.5, 3.5, 3.5, 4.0]","[0.0, 0.0, 0.0, 3.1622777, 3.4641016]","[-4.0, -3.5, -1.0, -0.5, 0.0]","[3.5, 4.5, 6.0]","[2.828427, 3.1622777, 5.196152]","[-0.5, 0.5, 4.0]",2,1,2,0,1.0,0.0,0
41826,18,4,3,"[0.0, 1.0, 2.5, 3.5, 4.0, 5.0, 5.5, 6.0, 6.5, 8.5]","[0.0, 0.0, 1.0, 2.4494898, 3.0, 3.4641016, 4.8989797, 5.656854, 6.4807405, 8.485281]","[1.0, 1.0, 1.5, 1.5, 1.5, 2.0, 2.0, 2.0, 2.0, 2.0, 2.5, 3.0, 3.0, 3.0, 3.0, 5.0, 5.5, 6.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.4142135, 1.4142135, 1.7320508, 1.7320508, 2.0, 2.236068, 2.828427, 4.8989797, 4.8989797, 6.4807405]","[-6.5, -6.0, -6.0, -5.5, -5.0, -5.0, -5.0, -4.0, -4.0, -4.0, -4.0, -4.0, -3.0, -3.0, -2.5, -2.0, -2.0, -1.0]","[1.0, 1.0, 1.5, 3.0]","[0.0, 0.0, 0.0, 1.0]","[-5.0, -5.0, -4.0, -1.0]","[3.0, 4.0, 6.0, 6.0]","[0.0, 0.0, 5.196152, 6.0]","[-4.0, 0.0, 2.0, 2.0]","[4.0, 4.0, 6.0]","[0.0, 3.8729835, 5.196152]","[-0.5, 2.0, 2.0]",1,2,1,0,1.0,0.0,0
585,7,5,3,"[0.0, 1.5, 2.0, 2.0, 3.0, 3.5, 4.0, 4.5, 4.5, 6.0]","[0.0, 0.0, 0.0, 1.4142135, 1.7320508, 2.236068, 2.4494898, 3.8729835, 4.472136, 5.656854]","[1.0, 1.0, 1.5, 1.5, 1.5, 2.0, 4.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 4.0]","[-5.5, -3.5, -3.5, -3.0, -3.0, -2.5, -2.0]","[1.0, 1.0, 1.5, 1.5, 1.5]","[0.0, 0.0, 0.0, 0.0, 1.4142135]","[-3.5, -3.5, -3.0, -3.0, -2.0]","[4.0, 5.0, 5.0, 6.5, 6.5]","[0.0, 3.0, 4.582576, 6.4807405, 6.4807405]","[1.0, 1.0, 2.0, 3.5, 4.5]","[3.5, 5.0, 5.0]","[3.0, 3.4641016, 4.582576]","[2.0, 2.0, 4.5]",2,2,1,0,2.0,0.0,1
