trialIndex,numUnstable,numNM1,numNM2,matchingAM,matchingGM,unstableAM,unstableGM,unstableRAM,nm1AM,nm1GM,nm1RAM,nm2GenAM,nm2GenGM,nm2GenRAM,nm2AM,nm2GM,nm2RAM,numEdges,numSingletons,numChains,numCycles,avgChainLen,avgCycleLen,converges
301,2,2,2,"[0.5, 1.0, 1.0, 1.0, 1.0, 1.5, 2.5, 3.0, 5.0, 5.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.236068, 4.8989797, 4.8989797]","[1.5, 4.0]","[1.4142135, 3.8729835]","[-2.5, -1.5]","[1.5, 4.0]","[1.4142135, 3.8729835]","[-2.5, -1.5]","[5.0, 6.5]","[3.0, 6.4807405]","[2.5, 4.5]","[5.0, 6.5]","[3.0, 6.4807405]","[2.5, 4.5]",0,2,0,0,0.0,0.0,1
19318,4,2,1,"[0.0, 0.0, 1.0, 1.5, 2.0, 2.0, 2.0, 2.5, 5.5, 7.5]","[0.0, 0.0, 0.0, 0.0, 1.7320508, 1.7320508, 2.0, 2.4494898, 4.8989797, 7.483315]","[2.0, 2.5, 3.0, 5.0]","[0.0, 0.0, 2.0, 4.8989797]","[-3.0, -3.0, -2.5, -2.0]","[2.0, 2.5]","[0.0, 2.0]","[-3.0, -2.5]","[2.0, 6.0]","[1.7320508, 5.91608]","[-1.5, 1.0]",[7.5],[7.483315],[6.5],1,0,1,0,1.0,0.0,0
11609,2,2,2,"[0.5, 1.0, 1.0, 1.0, 2.0, 2.0, 2.5, 3.5, 4.5, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.4494898, 3.1622777, 5.2915025]","[1.5, 5.0]","[1.4142135, 4.582576]","[-3.0, -2.5]","[1.5, 5.0]","[1.4142135, 4.582576]","[-3.0, -2.5]","[2.5, 8.5]","[0.0, 8.485281]","[0.5, 8.5]","[2.5, 8.5]","[0.0, 8.485281]","[0.5, 8.5]",0,2,0,0,0.0,0.0,0
45,22,5,2,"[0.0, 2.0, 3.0, 4.0, 4.0, 4.5, 5.0, 6.5, 7.0, 7.5]","[0.0, 2.0, 2.828427, 3.4641016, 3.7416575, 4.0, 4.8989797, 6.4807405, 6.928203, 7.3484693]","[0.5, 0.5, 0.5, 1.0, 1.5, 1.5, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.5, 2.5, 2.5, 3.0, 3.0, 3.5, 3.5, 4.0, 5.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 1.7320508, 1.7320508, 1.7320508, 2.0, 2.0, 2.0, 2.236068, 2.4494898, 2.4494898, 3.1622777, 4.0, 4.8989797]","[-5.5, -5.5, -5.5, -5.0, -4.5, -4.5, -4.5, -3.5, -3.5, -3.5, -3.0, -3.0, -2.5, -2.5, -2.0, -2.0, -2.0, -1.5, -1.5, -1.5, -1.5, -1.0]","[0.5, 0.5, 0.5, 2.0, 2.0]","[0.0, 0.0, 0.0, 0.0, 2.0]","[-5.5, -5.5, -5.0, -3.5, -1.5]","[4.0, 4.0, 5.5, 6.5, 8.5]","[2.6457512, 3.4641016, 5.2915025, 6.4807405, 8.485281]","[-1.0, 0.0, 2.0, 2.5, 3.5]","[4.0, 5.5]","[2.6457512, 5.2915025]","[-1.0, 2.5]",3,2,0,1,0.0,3.0,1
275,3,1,1,"[0.0, 0.5, 1.5, 2.0, 2.0, 2.5, 3.0, 4.0, 4.0, 6.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.7320508, 1.7320508, 2.0, 2.6457512, 6.4807405]","[2.0, 3.5, 5.0]","[0.0, 1.7320508, 4.8989797]","[-5.5, -3.5, -2.0]",[2.0],[1.7320508],[-5.5],[4.0],[4.0],[3.5],[4.0],[4.0],[3.5],0,1,0,0,0.0,0.0,1
19352,2,2,1,"[0.0, 0.0, 0.5, 0.5, 1.0, 1.5, 1.5, 2.5, 4.0, 9.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 1.4142135, 2.0, 4.0, 9.0]","[3.0, 4.0]","[0.0, 2.828427]","[-3.5, -1.5]","[3.0, 4.0]","[0.0, 2.828427]","[-3.5, -1.5]","[0.5, 8.0]","[0.0, 7.937254]","[-4.0, 1.5]",[8.0],[8.0],[6.0],1,0,1,0,1.0,0.0,0
71896,4,2,1,"[0.0, 1.0, 1.5, 1.5, 1.5, 2.0, 2.5, 3.5, 3.5, 8.0]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.4142135, 2.0, 3.1622777, 3.4641016, 7.937254]","[0.5, 1.0, 1.5, 4.0]","[0.0, 0.0, 0.0, 3.4641016]","[-5.0, -3.5, -3.0, -2.0]","[0.5, 1.5]","[0.0, 0.0]","[-5.0, -3.5]","[2.5, 4.5]","[2.4494898, 4.472136]","[-3.0, 0.5]",[5.5],[5.477226],[4.0],1,0,1,0,1.0,0.0,0
216,3,2,0,"[0.0, 0.5, 1.0, 1.0, 1.5, 2.0, 2.5, 3.5, 4.0, 6.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.4142135, 2.0, 3.1622777, 3.8729835, 6.3245554]","[2.0, 2.5, 3.5]","[0.0, 0.0, 2.4494898]","[-3.0, -2.5, -1.5]","[2.0, 2.5]","[0.0, 2.4494898]","[-3.0, -2.5]","[2.0, 2.5]","[0.0, 2.4494898]","[-3.0, -2.5]",[],[],[],2,0,0,1,0.0,2.0,1
171,2,2,1,"[0.0, 1.0, 1.0, 1.5, 2.0, 2.5, 2.5, 3.0, 4.5, 7.5]","[0.0, 0.0, 0.0, 1.0, 1.4142135, 1.7320508, 2.0, 3.0, 4.2426405, 7.3484693]","[2.0, 2.5]","[1.7320508, 2.0]","[-4.5, -4.0]","[2.0, 2.5]","[1.7320508, 2.0]","[-4.5, -4.0]","[3.5, 4.0]","[3.4641016, 3.8729835]","[-2.0, 0.5]",[4.0],[3.4641016],[2.5],1,0,1,0,1.0,0.0,1
80241,4,1,1,"[0.0, 0.0, 1.5, 2.5, 2.5, 2.5, 2.5, 3.0, 4.5, 7.5]","[0.0, 0.0, 0.0, 1.4142135, 2.4494898, 2.4494898, 2.4494898, 2.4494898, 2.828427, 7.3484693]","[1.5, 2.0, 2.5, 3.0]","[0.0, 2.0, 2.0, 2.236068]","[-6.0, -4.0, -3.0, -2.5]",[1.5],[0.0],[-4.0],[5.0],[4.8989797],[3.5],[5.0],[4.8989797],[3.5],0,1,0,0,0.0,0.0,0
