epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.001,0.67908406,0.66913116,0.5681004,0.58652
1,0.001,0.66806465,0.6648151,0.5895817,0.595054
2,0.001,0.6628432,0.65945995,0.59832305,0.602208
3,0.001,0.65980524,0.6592146,0.60285574,0.60267
4,0.001,0.65828305,0.65604055,0.6044804,0.607412
5,0.001,0.6573096,0.658864,0.6059711,0.603036
6,0.001,0.6565091,0.6552544,0.60735506,0.6079
7,0.001,0.6558506,0.654636,0.6080224,0.60893
8,0.001,0.6553539,0.6537328,0.60860306,0.610954
9,0.001,0.6548103,0.65940636,0.6092317,0.60189
10,0.001,0.6544037,0.654534,0.6099544,0.609388
11,0.001,0.65392494,0.6525672,0.61014175,0.612068
12,0.001,0.65320057,0.65237784,0.61135775,0.612988
13,0.001,0.6528772,0.65725553,0.6119984,0.604924
14,0.001,0.6522972,0.6533392,0.61273843,0.61147
15,0.001,0.65189826,0.6519372,0.61293775,0.613384
16,0.001,0.6515623,0.65378016,0.6137604,0.61118
17,0.001,0.6512233,0.6503961,0.61403775,0.615098
18,0.001,0.65104127,0.6525897,0.61430305,0.613296
19,0.001,0.65078133,0.6528138,0.6147704,0.611028
20,0.001,0.6507417,0.65180427,0.61444575,0.613212
21,0.001,0.6504858,0.6525705,0.6148477,0.61142
22,0.001,0.65025336,0.65185446,0.6153704,0.61427
23,0.001,0.65014744,0.65019035,0.6152464,0.615546
24,0.001,0.64998865,0.64935887,0.61557174,0.616126
25,0.001,0.64973223,0.6541431,0.6161564,0.609418
26,0.001,0.6496907,0.649629,0.6156504,0.615482
27,0.001,0.6494796,0.6610125,0.6161924,0.604866
28,0.001,0.64937454,0.6495487,0.6162864,0.61649
29,0.001,0.64917403,0.6544724,0.61668307,0.6086
30,0.001,0.6489722,0.6517519,0.6166564,0.613668
31,0.001,0.64894056,0.6521916,0.6168964,0.614668
32,0.001,0.6488577,0.65948385,0.6169191,0.608116
33,0.001,0.6486406,0.6497801,0.6172271,0.616182
34,0.001,0.6485187,0.6545008,0.61744773,0.612292
35,0.001,0.6482666,0.6505931,0.6175551,0.615244
36,0.001,0.6481572,0.6555379,0.6176177,0.61473
37,0.001,0.648114,0.6491865,0.61776906,0.616002
38,0.001,0.64789367,0.65402734,0.6183811,0.611414
39,0.001,0.64774656,0.65273875,0.6183471,0.612206
40,0.001,0.6476345,0.65176606,0.61813176,0.614026
41,0.001,0.6474847,0.6528661,0.6186097,0.61368
42,0.001,0.64745474,0.6508118,0.6182771,0.615112
43,0.001,0.6471929,0.6522793,0.61889374,0.614488
44,0.001,0.6473103,0.65034276,0.61845773,0.615688
45,0.001,0.64710945,0.64801353,0.61934507,0.617708
46,0.001,0.6469582,0.64886945,0.6192791,0.618008
47,0.001,0.6467033,0.648509,0.6197551,0.618404
48,0.001,0.64666015,0.6485459,0.6200771,0.617008
49,0.001,0.6465936,0.6491046,0.6201038,0.616832
50,0.001,0.64629424,0.6488672,0.62013173,0.617168
51,0.001,0.64635146,0.6481151,0.6198104,0.618218
52,0.001,0.6461623,0.64810747,0.62017775,0.618118
53,0.001,0.64608467,0.6529876,0.6203484,0.61605
54,0.001,0.64586663,0.65529686,0.6207057,0.612486
55,0.001,0.64589643,0.6544494,0.6206864,0.615632
56,0.001,0.64570796,0.65027285,0.6207804,0.615828
57,0.001,0.64544976,0.66422117,0.6214351,0.600418
58,0.001,0.6454497,0.6567465,0.6214524,0.607364
59,0.001,0.6452791,0.649042,0.6219164,0.617466
60,0.001,0.6451955,0.6471458,0.62148106,0.619342
61,0.001,0.64504474,0.6495224,0.6218331,0.615772
62,0.001,0.64496595,0.64861035,0.62179506,0.617462
63,0.001,0.64483434,0.65204304,0.6218604,0.617436
64,0.001,0.6446678,0.6526728,0.62236375,0.614462
65,0.001,0.64453125,0.6544362,0.62235975,0.612146
66,0.001,0.64440846,0.6506183,0.6225264,0.617258
67,0.001,0.6443567,0.65447295,0.6226664,0.615376
68,0.001,0.64415574,0.64902526,0.6229138,0.615908
69,0.001,0.6440708,0.6498467,0.6228851,0.617212
70,0.001,0.64394814,0.6531064,0.62324977,0.614678
71,0.001,0.6438515,0.64868134,0.62293774,0.618108
72,0.001,0.6436691,0.65471965,0.6235544,0.617038
73,0.001,0.64349455,0.6483227,0.6232164,0.618138
74,0.001,0.6432787,0.65046746,0.6240064,0.616372
75,0.001,0.64328647,0.6472434,0.6238604,0.618782
76,0.001,0.6431479,0.65047026,0.6239764,0.618166
77,0.001,0.64303356,0.64887446,0.6240691,0.61713
78,0.001,0.6427759,0.6491103,0.6246124,0.617916
79,0.001,0.6426814,0.6516246,0.6246131,0.612446
80,0.001,0.6425626,0.6473516,0.6248311,0.618908
81,0.001,0.6424744,0.6505924,0.6249084,0.618348
82,0.001,0.64237934,0.6500739,0.6250844,0.61853
83,0.001,0.6422434,0.6605645,0.6251358,0.612512
84,0.001,0.6421036,0.6491381,0.6257504,0.616638
85,0.001,0.64197755,0.6504448,0.62526906,0.616612
86,0.001,0.6416681,0.65858495,0.62558377,0.605996
87,0.001,0.64176524,0.65006304,0.62568176,0.616108
88,0.001,0.6416313,0.64916056,0.62603307,0.617364
89,0.001,0.6413404,0.6477164,0.6260251,0.618272
90,0.001,0.6411386,0.64837277,0.62681043,0.619692
91,0.001,0.6410264,0.6488295,0.62666506,0.616754
92,0.001,0.6409211,0.64682955,0.6266324,0.619866
93,0.001,0.6409289,0.6571074,0.6270811,0.608832
94,0.001,0.6406185,0.6512208,0.62683576,0.61519
95,0.001,0.6403548,0.6525139,0.6278171,0.61772
96,0.001,0.64035374,0.6526743,0.6271971,0.61646
97,0.001,0.64019275,0.64893794,0.62755173,0.617128
98,0.001,0.6399918,0.6509126,0.62815106,0.61936
99,0.001,0.63992023,0.6510687,0.6281744,0.615692
100,0.001,0.6395889,0.650071,0.6285931,0.618698
101,0.001,0.6395555,0.6586336,0.62830573,0.609542
102,0.001,0.6394033,0.6501004,0.62879175,0.619114
103,0.001,0.6392415,0.65235674,0.62892777,0.615548
104,0.001,0.63910955,0.6529361,0.6291438,0.61563
105,0.001,0.63874316,0.6496694,0.6293458,0.616686
106,0.001,0.638638,0.6467527,0.6296531,0.619914
107,0.001,0.63852173,0.6562695,0.6295784,0.614538
108,0.001,0.6382821,0.6539277,0.6300224,0.618728
109,0.001,0.63837504,0.6504669,0.63023645,0.617368
110,0.001,0.63810563,0.6484648,0.6305164,0.618766
111,0.001,0.6380273,0.654801,0.6306391,0.616142
112,0.001,0.6377462,0.6527154,0.63075244,0.618936
113,0.001,0.63750994,0.64962274,0.63125175,0.617852
