epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.0014,0.65076953,0.5816872,0.5059033,0.50213
1,0.0014,0.6484379,0.5771639,0.52053934,0.52021
2,0.0014,0.646583,0.57304215,0.531336,0.540344
3,0.0014,0.64544797,0.572387,0.53741866,0.543654
4,0.0014,0.6448287,0.5721341,0.53989136,0.544518
5,0.0014,0.64445573,0.57210994,0.5412047,0.543752
6,0.0014,0.6442661,0.57162446,0.5418773,0.546338
7,0.0014,0.6440087,0.5734047,0.54312134,0.54003
8,0.0014,0.6439351,0.5715232,0.54363,0.548264
9,0.0014,0.64381474,0.5724001,0.54387265,0.543726
10,0.0014,0.64369863,0.5712993,0.54456466,0.547952
11,0.0014,0.6435916,0.5729831,0.5447893,0.539452
12,0.0014,0.6435,0.571099,0.54494864,0.548998
13,0.0014,0.6434696,0.5712224,0.5449113,0.548632
14,0.0014,0.64342755,0.5713112,0.5450133,0.547958
15,0.0014,0.64339364,0.57130545,0.54548067,0.548832
16,0.0014,0.64333653,0.5728798,0.54581267,0.541688
17,0.0014,0.6433325,0.57256454,0.545814,0.542332
18,0.0014,0.64327925,0.5715261,0.54602665,0.546706
19,0.0014,0.6432296,0.5717027,0.54621065,0.54725
20,0.0014,0.6431756,0.5717016,0.546518,0.54637
21,0.0014,0.6432419,0.5711992,0.54608536,0.547466
22,0.0014,0.6431975,0.57383305,0.54635864,0.539438
23,0.0014,0.6431645,0.5711575,0.54632133,0.54794
24,0.001,0.6428722,0.5717361,0.5474413,0.546548
25,0.001,0.64285165,0.57086253,0.5472327,0.54956
26,0.001,0.64281756,0.5709652,0.54775465,0.550016
27,0.001,0.6427911,0.57142997,0.5476853,0.546678
28,0.001,0.64273846,0.570805,0.5478387,0.550128
