epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.001,0.6501933,0.577222,0.51049936,0.514554
1,0.001,0.64747506,0.5750224,0.5290113,0.53306
2,0.001,0.64615446,0.5729967,0.535636,0.543828
3,0.001,0.6454751,0.5733077,0.5393,0.541634
4,0.001,0.6450062,0.5726987,0.54108864,0.543508
5,0.001,0.6447256,0.5720663,0.542046,0.547028
6,0.001,0.64457583,0.5719048,0.542742,0.548194
7,0.001,0.6443853,0.5716706,0.54308665,0.54798
8,0.001,0.6442822,0.57229507,0.54405,0.547538
9,0.001,0.6442177,0.57198554,0.544098,0.546606
10,0.001,0.6441292,0.571477,0.54449135,0.549158
11,0.001,0.64403826,0.5726894,0.54448134,0.54339
12,0.001,0.64400965,0.57158446,0.5444187,0.5485
13,0.001,0.6439298,0.57206,0.545192,0.546138
14,0.001,0.64391106,0.57221246,0.5451907,0.546724
15,0.001,0.6438181,0.57457197,0.54557866,0.532934
16,0.001,0.643821,0.5713951,0.545474,0.549244
17,0.001,0.6437404,0.5714642,0.545732,0.549868
18,0.001,0.64370495,0.57120764,0.5461313,0.550176
19,0.001,0.6436927,0.57141894,0.54599667,0.54867
20,0.001,0.64365774,0.57180095,0.5464333,0.547934
21,0.001,0.6436587,0.57132167,0.545874,0.549814
22,0.001,0.6436396,0.5713363,0.5461233,0.549394
23,0.001,0.6435872,0.57147694,0.54693264,0.54839
24,0.001,0.64358467,0.5714625,0.54622734,0.54879
25,0.001,0.6435834,0.5713756,0.546642,0.548798
26,0.001,0.643557,0.5713238,0.54642665,0.549792
27,0.001,0.6434973,0.57123756,0.546846,0.55026
28,0.001,0.6434839,0.5713212,0.5469893,0.549242
29,0.001,0.64349025,0.57123965,0.5468547,0.549678
30,0.001,0.64348495,0.57171196,0.547052,0.547738
31,0.001,0.6434137,0.5715863,0.5469973,0.548834
32,0.001,0.6434352,0.57248443,0.54693264,0.545626
33,0.001,0.6434424,0.57131946,0.546758,0.54848
34,0.001,0.6434163,0.571359,0.547068,0.549096
35,0.001,0.64339364,0.5729103,0.5468,0.543696
36,0.001,0.64339167,0.5714642,0.5473033,0.54929
37,0.001,0.64332736,0.57152355,0.547208,0.549986
38,0.001,0.6433084,0.57128894,0.54756266,0.54989
39,0.001,0.64330626,0.5713205,0.547716,0.549018
40,0.001,0.6432763,0.57173604,0.54705733,0.547324
41,0.001,0.6433011,0.57268035,0.5471687,0.542666
42,0.001,0.6432522,0.5715212,0.54766536,0.549166
43,0.001,0.6432609,0.57232094,0.547506,0.546198
44,0.001,0.6431775,0.571339,0.54792064,0.549254
45,0.001,0.6432014,0.57187355,0.547278,0.54688
46,0.001,0.6432037,0.5712546,0.5479407,0.550368
47,0.001,0.64316803,0.5713505,0.547762,0.549694
48,0.001,0.64315903,0.5712727,0.54815865,0.549902
