epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.001,0.67236197,0.6064816,0.50167,0.484736
1,0.001,0.6954429,0.58002144,0.50061333,0.509988
2,0.001,0.69565433,0.61369723,0.50081265,0.499978
3,0.001,0.68893975,0.61247367,0.5004867,0.503922
4,0.001,0.69017476,0.58127695,0.50102466,0.499662
5,0.001,0.68781126,0.5810195,0.5013173,0.500022
6,0.001,0.68071425,0.5797889,0.5001193,0.5044
7,0.001,0.67132175,0.587118,0.499938,0.500022
8,0.001,0.6736999,0.6461488,0.5003087,0.499978
9,0.001,0.6673918,0.6074298,0.499944,0.499978
10,0.001,0.663881,0.57773423,0.499906,0.502524
11,0.001,0.658822,0.5792738,0.5002613,0.49954
12,0.001,0.65625966,0.5782242,0.49988332,0.500022
13,0.001,0.65387726,0.5786216,0.49988532,0.499978
14,0.001,0.6531304,0.5798631,0.5012827,0.500022
15,0.001,0.65215,0.58433735,0.508626,0.499984
16,0.001,0.65151805,0.576981,0.508974,0.51815
17,0.001,0.6510068,0.57751805,0.512612,0.510864
18,0.001,0.65047526,0.5802405,0.51650465,0.50047
19,0.001,0.6503286,0.57623327,0.51566935,0.525638
20,0.001,0.64968413,0.58121574,0.519388,0.505718
21,0.001,0.6490105,0.5751073,0.523188,0.531762
22,0.001,0.6479669,0.5742819,0.528192,0.537256
23,0.001,0.64721483,0.5733885,0.531594,0.540718
24,0.001,0.6466706,0.57711035,0.53431934,0.52286
25,0.001,0.64618784,0.57506907,0.53634936,0.534998
26,0.001,0.64582604,0.5721772,0.53804135,0.546428
27,0.001,0.64545035,0.5732444,0.539542,0.54156
28,0.001,0.6450687,0.5760421,0.541072,0.528784
29,0.001,0.6448949,0.57236826,0.541828,0.546314
30,0.001,0.6447555,0.5716616,0.5424827,0.54817
31,0.001,0.64465773,0.571789,0.54246336,0.547812
32,0.001,0.6445275,0.5719602,0.54318464,0.549558
33,0.001,0.644448,0.5745157,0.543272,0.534918
34,0.001,0.6443796,0.5717009,0.54376465,0.548534
35,0.001,0.64426035,0.5716642,0.54436,0.54837
36,0.001,0.6442743,0.57185906,0.54379,0.548348
37,0.001,0.64418876,0.5721501,0.544704,0.546178
38,0.001,0.6441861,0.57207566,0.5441513,0.548178
