epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.0014,0.69370437,0.874111,0.5011067,0.49999398
1,0.0014,0.72506785,0.7029847,0.49993402,0.50376594
2,0.0014,0.75616944,0.81868607,0.49992,0.499942
3,0.0014,0.7490053,0.9472317,0.5003447,0.49999398
4,0.0014,0.76363856,0.7022654,0.49993065,0.502114
5,0.0014,0.76950306,0.7438282,0.49932334,0.499942
6,0.0014,0.7680672,0.71775055,0.50029665,0.499358
7,0.0014,0.78500396,0.719875,0.5001973,0.50068796
8,0.0014,0.776503,0.8198658,0.500422,0.50020796
9,0.0014,0.77490216,0.695717,0.500302,0.501796
10,0.0014,0.75591993,0.7081544,0.50047266,0.49801403
11,0.0014,0.7581822,0.69443995,0.50118065,0.507572
12,0.0014,0.7613286,0.70475626,0.50051135,0.49946404
13,0.0014,0.75152254,0.72925055,0.500244,0.500602
14,0.0014,0.8118891,1.2171068,0.50081336,0.499942
15,0.0014,0.90087104,1.0881324,0.500544,0.49988598
16,0.0014,0.8884373,0.79838216,0.50117135,0.500408
17,0.0014,0.85738146,0.8133557,0.50101537,0.501372
18,0.0014,0.9667776,0.7571817,0.500982,0.507128
19,0.0014,0.8957418,1.0674937,0.50116664,0.499942
20,0.0014,0.9538672,0.7270261,0.50143665,0.501904
21,0.0014,0.9285109,0.92104733,0.50055265,0.50001395
22,0.0014,0.99414444,0.85562694,0.5006767,0.49965802
23,0.0014,0.9962885,0.72466475,0.50038,0.50083804
24,0.0014,0.9133382,1.2307637,0.500908,0.499992
25,0.0014,0.8982549,1.0654559,0.50050867,0.50279
26,0.0014,0.8758799,0.72791976,0.5006287,0.504254
27,0.0014,0.88962466,0.8237611,0.50048006,0.49994802
28,0.0014,0.9309316,0.7505374,0.5011453,0.508954
29,0.0014,0.95809853,2.064575,0.500266,0.49932998
30,0.0014,0.97352386,1.2940097,0.50102466,0.49996203
31,0.0014,0.9351975,0.78998905,0.50056136,0.50515604
32,0.0014,0.9411784,1.3154342,0.50013334,0.499962
33,0.0014,0.92015266,0.911403,0.5001826,0.503398
34,0.0014,0.89283717,1.0148702,0.500924,0.500382
35,0.0014,0.9549222,0.76973826,0.5005673,0.504304
36,0.0014,0.961105,0.7846323,0.5009453,0.504134
37,0.0014,0.98400146,0.8859981,0.5006733,0.501544
38,0.0014,0.9587174,0.83990824,0.500924,0.49816197
39,0.0014,0.971913,1.0000441,0.50127935,0.500022
40,0.0014,0.97689956,1.1984745,0.49940735,0.500026
41,0.0014,0.9312701,0.7974372,0.50077665,0.501516
42,0.0014,0.86339504,0.83038956,0.5001893,0.49957
43,0.0014,0.8740126,2.2523587,0.5011247,0.499368
44,0.0014,0.9312496,0.84619105,0.49984333,0.504806
45,0.0014,0.92772865,1.0135843,0.50031865,0.49999398
46,0.0014,0.925617,1.3129127,0.499942,0.49995202
47,0.0014,0.9526632,0.6986808,0.500084,0.49843198
48,0.0014,0.9381657,2.0192614,0.5000607,0.49999398
49,0.0014,1.0424502,0.72384626,0.499558,0.500064
50,0.0014,0.99539185,1.6699865,0.49964535,0.49999398
51,0.0014,0.9768704,0.82354504,0.5004193,0.5
52,0.0014,0.9612559,0.85892487,0.49975666,0.500242
53,0.0014,1.0563362,0.7873641,0.5004733,0.50038403
54,0.0014,1.1660182,0.9094379,0.4999353,0.499994
55,0.0014,1.0203031,0.8722458,0.5003047,0.500322
56,0.0014,0.9687211,1.1295561,0.500234,0.499942
57,0.0014,0.9399667,0.92883414,0.49990332,0.49999398
58,0.0014,0.87557054,0.72062445,0.499956,0.499986
59,0.0014,1.0251722,0.75534433,0.499636,0.499214
60,0.0014,1.1492939,0.8178433,0.50074,0.49999398
61,0.0014,1.083904,0.7349372,0.49985132,0.50022805
62,0.0014,1.068801,0.73031217,0.500298,0.49999398
63,0.0014,1.0700741,0.75176746,0.5007027,0.499214
64,0.0014,1.0380042,0.71659493,0.50124466,0.500158
65,0.0014,1.2488227,0.71655834,0.50055665,0.49711
66,0.0014,1.0847198,0.7761952,0.50109464,0.49994403
67,0.0014,1.1284927,0.81980705,0.50103605,0.50044197
68,0.0014,1.0925235,0.7622276,0.5001567,0.500312
69,0.0014,1.0236773,1.0108547,0.5010606,0.49998403
70,0.0014,1.147123,1.056426,0.50050867,0.499992
71,0.0014,1.1642399,0.73283076,0.50101006,0.50078404
72,0.0014,0.968265,0.7218519,0.50025266,0.49997
73,0.0014,0.92108864,1.0345895,0.50014,0.49999398
74,0.0014,1.0571142,0.75796497,0.5004953,0.499902
75,0.0014,1.0368857,1.5682224,0.50048995,0.499942
76,0.0014,0.93193686,0.9853523,0.5006627,0.499942
77,0.0014,0.87758094,0.740467,0.50035536,0.49999398
78,0.0014,0.8661278,0.7713231,0.500472,0.499996
79,0.0014,0.85343677,0.8361148,0.50090605,0.49999398
80,0.0014,0.8694597,0.7127476,0.50042665,0.50002205
81,0.0014,0.85053205,0.8735557,0.50115806,0.499942
82,0.0014,0.86931205,3.872232,0.5006174,0.49999398
83,0.0014,0.9005333,0.7410758,0.500424,0.49993998
84,0.0014,1.0066907,1.3741312,0.5010847,0.49991798
85,0.0014,0.895182,0.7494851,0.50025666,0.49894798
86,0.0014,1.1987251,0.77852553,0.50041336,0.504516
87,0.0014,1.1520056,1.9293103,0.5008573,0.499942
88,0.0014,0.98058045,0.8316029,0.50046664,0.500014
89,0.0014,1.0179332,0.7022128,0.5013,0.502818
90,0.0014,0.98334783,0.83853424,0.50127465,0.499942
91,0.0014,0.9170079,0.6958685,0.500656,0.49420398
92,0.0014,1.174223,1.1558528,0.50067735,0.49999398
93,0.0014,1.0782715,0.707975,0.50066465,0.500168
94,0.0014,0.9833268,0.7027218,0.5006527,0.505484
95,0.0014,1.0573075,0.70637286,0.50094265,0.498958
96,0.0014,1.1476194,2.3374307,0.49998266,0.499946
97,0.0014,1.234257,1.6224742,0.5005633,0.499942
98,0.0014,1.2271309,0.7709163,0.5007453,0.50047
99,0.0014,1.1841143,0.72064114,0.500306,0.5036
