epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.0014,0.6532983,0.58216256,0.503958,0.499956
1,0.0014,0.6500644,0.5757948,0.510146,0.523268
2,0.0014,0.6471691,0.5733183,0.5280433,0.539468
3,0.0014,0.6458928,0.5727415,0.5354753,0.542604
4,0.0014,0.6447964,0.5714603,0.54011464,0.547372
5,0.0014,0.6443099,0.5773938,0.542272,0.525778
6,0.0014,0.64410967,0.57102555,0.543052,0.54911
7,0.0014,0.64389855,0.5716548,0.54361266,0.547078
8,0.0014,0.6438463,0.57119995,0.54382,0.549502
9,0.0014,0.64370733,0.571855,0.5442993,0.545838
10,0.0014,0.64372945,0.5711532,0.544454,0.54836
11,0.0014,0.6435821,0.5721596,0.5449193,0.542994
12,0.0014,0.6435222,0.5709652,0.5449607,0.549624
13,0.0014,0.64351135,0.571299,0.54539734,0.548596
14,0.0014,0.6434547,0.57093567,0.545106,0.549168
15,0.0014,0.64345133,0.5715342,0.54521865,0.547358
16,0.0014,0.6433601,0.57217735,0.54567534,0.54542
17,0.0014,0.64333844,0.57174695,0.54563534,0.545132
18,0.0014,0.6433746,0.57139003,0.545502,0.547926
