epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.001,0.6689456,0.70417506,0.52293605,0.500007
1,0.001,0.70231795,0.5830602,0.512922,0.507439
2,0.001,0.70326406,1.0209447,0.5129367,0.500015
3,0.001,0.7178919,0.677919,0.5117667,0.506033
4,0.001,0.69036156,0.6240774,0.515528,0.52188504
5,0.001,0.67501885,0.5754429,0.5199427,0.5536731
6,0.001,0.6635439,0.59181637,0.52276736,0.510907
7,0.001,0.662846,0.59927016,0.5261347,0.501357
8,0.001,0.66211563,0.58135957,0.52517134,0.52247906
9,0.001,0.65896827,0.6038103,0.5283367,0.50933504
10,0.001,0.6569339,0.58121824,0.5278847,0.52026904
11,0.001,0.6552343,0.5735983,0.52971673,0.53930706
12,0.001,0.65388006,0.5860188,0.5311594,0.502941
13,0.001,0.6540969,0.57389593,0.5302707,0.54099107
14,0.001,0.6533525,0.5749489,0.53146535,0.5502111
15,0.001,0.6508641,0.5723529,0.5351627,0.5468991
16,0.001,0.64904046,0.5700348,0.53896874,0.55469114
17,0.001,0.64809424,0.58434623,0.5418974,0.5464071
18,0.001,0.64605373,0.5717164,0.5459914,0.5594071
19,0.001,0.6430559,0.5783819,0.5530567,0.5412571
20,0.001,0.6381078,0.56202656,0.56531006,0.57612914
21,0.001,0.6358044,0.56139654,0.57025874,0.58055913
22,0.001,0.6342703,0.5608699,0.5733821,0.57852715
23,0.001,0.6327478,0.565923,0.5771334,0.5652111
24,0.001,0.6311558,0.557694,0.5800041,0.5874612
25,0.001,0.6299355,0.5581023,0.5822501,0.5861032
26,0.001,0.6280696,0.554807,0.58627343,0.59288716
27,0.001,0.62686974,0.5557277,0.58803546,0.5934052
28,0.001,0.6259739,0.5543061,0.5898608,0.5941312
29,0.001,0.625335,0.5584134,0.59078413,0.5818412
30,0.001,0.62487775,0.5533119,0.59096944,0.5954072
31,0.001,0.62452084,0.5546552,0.59162676,0.5927632
32,0.001,0.6242543,0.5553761,0.5921821,0.5910232
33,0.001,0.624054,0.55419606,0.5927761,0.5938712
34,0.001,0.62393624,0.5535097,0.5927855,0.5946792
35,0.001,0.6237138,0.5525608,0.5932741,0.5965732
36,0.001,0.6234767,0.55315787,0.59353215,0.5959832
37,0.001,0.62334985,0.5525759,0.5937968,0.5968952
38,0.001,0.6232513,0.552229,0.5943468,0.5978852
39,0.001,0.62320334,0.55308837,0.59424543,0.5952592
40,0.001,0.6230064,0.5542259,0.59439677,0.5927512
41,0.001,0.62299705,0.5521268,0.5945815,0.5970212
42,0.001,0.622899,0.55334145,0.5946121,0.5966512
43,0.001,0.62281704,0.55504775,0.59489214,0.5920112
44,0.001,0.6227428,0.5532771,0.5947821,0.5940252
45,0.001,0.62265307,0.5518504,0.5949021,0.5980892
46,0.001,0.6225613,0.5529293,0.59498614,0.5954512
47,0.001,0.62247366,0.5519289,0.5953388,0.59758717
48,0.001,0.62243986,0.5577094,0.59520614,0.58667517
49,0.001,0.62239003,0.5520903,0.5952928,0.5982872
50,0.001,0.62227637,0.5541303,0.59558344,0.5925292
51,0.001,0.62230957,0.55242026,0.5955995,0.5970652
52,0.001,0.6222402,0.55670786,0.5956675,0.58785117
53,0.001,0.62215215,0.5520964,0.5957428,0.5971432
54,0.001,0.62211865,0.55183643,0.5956175,0.59782517
55,0.001,0.62205553,0.5684408,0.5960648,0.57058513
56,0.001,0.62206686,0.5516881,0.5956841,0.5975712
57,0.001,0.6219765,0.5525466,0.59590614,0.5958332
58,0.001,0.62188596,0.5528865,0.5962415,0.5954732
59,0.001,0.62186927,0.5515608,0.5964255,0.5980532
60,0.001,0.6217892,0.552287,0.59656346,0.5967332
61,0.001,0.6217228,0.55221516,0.59621346,0.5968652
62,0.001,0.6216466,0.5522449,0.5968641,0.5978572
63,0.001,0.6213329,0.5521722,0.5971081,0.5968672
64,0.001,0.6210508,0.5544418,0.5975908,0.5925432
65,0.001,0.6205247,0.5494001,0.59856147,0.60252523
66,0.001,0.6194196,0.5483176,0.6006268,0.6049592
67,0.001,0.61775386,0.55487317,0.60335547,0.5964852
68,0.001,0.6158586,0.5443588,0.60655016,0.61172724
69,0.001,0.6142228,0.54290885,0.6090608,0.61398524
70,0.001,0.6131758,0.5468206,0.6106101,0.6056152
71,0.001,0.612353,0.5415006,0.61202216,0.6164472
72,0.001,0.61126375,0.5399813,0.6137495,0.61885923
73,0.001,0.61047316,0.5385897,0.61436146,0.62040126
74,0.001,0.6096296,0.5388303,0.61560017,0.62076926
75,0.001,0.6091942,0.537172,0.6158562,0.62236524
76,0.001,0.60861415,0.53710073,0.6168915,0.6230332
77,0.001,0.6081257,0.5409109,0.6179315,0.61693925
78,0.001,0.60777473,0.5370739,0.6185002,0.62302524
79,0.001,0.60745263,0.5407062,0.61868817,0.61625326
80,0.001,0.60703456,0.536049,0.61933416,0.62392926
81,0.001,0.6066477,0.5364127,0.61967015,0.62363726
82,0.001,0.60620713,0.53546524,0.62020284,0.62439924
83,0.001,0.60611737,0.54185134,0.6203948,0.61389124
84,0.001,0.6056515,0.5385078,0.6210715,0.6204832
85,0.001,0.6054364,0.5360119,0.62128884,0.6244512
86,0.001,0.60531104,0.5352207,0.62157214,0.62542325
87,0.001,0.60507196,0.53447825,0.6217915,0.62615126
88,0.001,0.6048392,0.55066633,0.62179285,0.6002612
89,0.001,0.60467666,0.53476185,0.6221735,0.6266053
90,0.001,0.60436934,0.5359624,0.6224628,0.62416327
91,0.001,0.6045293,0.5336959,0.62218416,0.6273153
92,0.001,0.60415393,0.536367,0.6228368,0.62335527
93,0.001,0.60394484,0.53446525,0.6229662,0.62638324
94,0.001,0.60378855,0.5344011,0.6233075,0.6259152
