epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.001,0.6498617,0.5754089,0.5152853,0.529528
1,0.001,0.647235,0.57509565,0.530694,0.53531
2,0.001,0.64617616,0.57322425,0.53605735,0.542074
3,0.001,0.64551294,0.57302725,0.53875536,0.543508
4,0.001,0.64498395,0.572249,0.54141134,0.546612
5,0.001,0.6446615,0.5720603,0.5426587,0.546136
6,0.001,0.64441997,0.57352346,0.543388,0.5394
7,0.001,0.64426863,0.5723691,0.54421264,0.543744
8,0.001,0.644151,0.5721953,0.54452866,0.545774
9,0.001,0.6439763,0.5719144,0.545354,0.548974
10,0.001,0.64395195,0.5719962,0.545124,0.548286
11,0.001,0.64384484,0.5715422,0.5454827,0.549902
12,0.001,0.6438266,0.57154876,0.545318,0.549142
13,0.001,0.64372206,0.5721633,0.54620135,0.54839
14,0.001,0.6437027,0.57169896,0.546234,0.548348
15,0.001,0.64368135,0.5715776,0.5460427,0.549334
16,0.001,0.6436184,0.5715335,0.546606,0.54946
17,0.001,0.6435713,0.57169026,0.546754,0.548328
18,0.001,0.64356184,0.5719783,0.54691064,0.54717
19,0.001,0.64356875,0.5717099,0.54635465,0.54859
20,0.001,0.6435522,0.5716962,0.5463193,0.549992
21,0.001,0.6435134,0.5722118,0.546886,0.545868
22,0.001,0.6434921,0.5719762,0.5464733,0.546826
23,0.001,0.6434708,0.5715239,0.546986,0.5503
24,0.001,0.64346284,0.57151884,0.547106,0.549998
25,0.001,0.6433671,0.57158256,0.5473533,0.549426
26,0.001,0.64341116,0.57143515,0.54698867,0.549606
27,0.001,0.6434154,0.5715911,0.54690266,0.54873
28,0.001,0.6433622,0.571799,0.5473267,0.548422
29,0.001,0.64332813,0.5716187,0.5471453,0.54915
30,0.001,0.6433417,0.571655,0.5474247,0.54898
31,0.001,0.64329046,0.57148844,0.54745865,0.548718
32,0.001,0.6432982,0.5713244,0.54751533,0.549824
33,0.001,0.6432856,0.5715082,0.54744065,0.549102
34,0.001,0.6432598,0.5714676,0.54743534,0.548984
35,0.001,0.64324933,0.5716721,0.547478,0.547718
36,0.001,0.64323,0.5718399,0.5477387,0.548836
37,0.001,0.6432061,0.57195836,0.54753,0.546384
38,0.001,0.6431959,0.57120794,0.547814,0.550292
39,0.001,0.6431627,0.57120705,0.5481347,0.550294
40,0.001,0.6431487,0.5714314,0.548048,0.550208
41,0.001,0.64314616,0.5715868,0.54824,0.548364
42,0.001,0.64310783,0.57272655,0.5479593,0.544436
43,0.001,0.64304996,0.5713822,0.54819065,0.549388
44,0.001,0.643073,0.5714456,0.548258,0.549126
45,0.001,0.643053,0.5717963,0.548242,0.548044
46,0.001,0.6430439,0.57139516,0.548266,0.549146
47,0.001,0.64300567,0.57124275,0.548572,0.549962
48,0.001,0.6429921,0.5712027,0.54835,0.550506
