learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.53417844,0.516045,0.72449917,0.738944
0.001,0.5337212,0.49524572,0.72463316,0.75233
0.001,0.5336396,0.5082925,0.72504646,0.742248
0.001,0.5331874,0.49839458,0.72515446,0.749696
0.001,0.53310966,0.5103004,0.7250378,0.740504
0.001,0.533121,0.50113374,0.72505516,0.748144
0.001,0.5326935,0.49371615,0.7257825,0.75343
0.001,0.5319305,0.5060155,0.72628784,0.744476
0.001,0.53217787,0.5045193,0.7260685,0.745044
0.001,0.5319327,0.51013964,0.7257878,0.741252
0.001,0.53202754,0.49927688,0.7257845,0.748916
0.001,0.5308846,0.5133945,0.7266325,0.73974
0.001,0.5314301,0.51206017,0.7266105,0.740672
0.001,0.5311378,0.50368506,0.72687584,0.74832
0.001,0.5304567,0.49810448,0.7275685,0.750372
0.001,0.5304812,0.4957339,0.72675115,0.75227
0.001,0.5300699,0.49342483,0.72748315,0.753652
0.001,0.52982086,0.49912858,0.72739714,0.74961
0.001,0.5294578,0.5001334,0.72797716,0.748706
0.001,0.52960354,0.50005007,0.7278845,0.74912
0.001,0.5294538,0.518094,0.72807914,0.73836
0.001,0.5296958,0.50127167,0.7281178,0.747758
0.001,0.52904916,0.5080278,0.72857314,0.743854
0.001,0.5292452,0.48666057,0.72845584,0.758336
0.001,0.52873194,0.49022588,0.7286445,0.755474
0.001,0.52843875,0.49745739,0.7289725,0.75101
0.001,0.5282758,0.5082777,0.7290745,0.74386
0.001,0.52797806,0.4989833,0.7292205,0.749578
0.001,0.5280273,0.5013262,0.7288745,0.748154
0.001,0.52778417,0.4948882,0.72942847,0.755246
0.001,0.5274509,0.48837104,0.7294692,0.756904
0.001,0.5278076,0.48999634,0.72942513,0.755832
0.001,0.5270023,0.49700052,0.7299725,0.75294
0.001,0.5271771,0.5008292,0.72985446,0.748002
0.001,0.5267339,0.5066449,0.73043114,0.744576
0.001,0.52626246,0.48918745,0.7305805,0.755492
0.001,0.52614325,0.4970236,0.7304665,0.751164
0.001,0.5260363,0.50284815,0.73048985,0.747854
0.001,0.52608746,0.48783398,0.73051316,0.757624
0.001,0.52555406,0.49005345,0.73096913,0.756234
0.001,0.52579385,0.500665,0.7314585,0.746922
0.001,0.52515423,0.49450943,0.7315625,0.75278
0.001,0.5249071,0.5038768,0.7318612,0.745934
0.001,0.5249429,0.5072956,0.7316458,0.743722
0.001,0.5248187,0.49514565,0.7315585,0.752776
0.001,0.5246631,0.494062,0.7320191,0.752786
0.001,0.52425957,0.5020346,0.73230916,0.747528
0.001,0.5243164,0.48572478,0.7319758,0.75895
0.001,0.5240453,0.49013156,0.7319558,0.758358
0.001,0.52398753,0.49893972,0.73188317,0.74982
0.001,0.523683,0.49398267,0.7325325,0.753164
0.001,0.52348864,0.49321193,0.7326998,0.75476
0.001,0.5228712,0.49819002,0.7332158,0.749664
0.001,0.522911,0.50164324,0.73315114,0.74562
0.001,0.52271867,0.503123,0.73339385,0.746762
0.001,0.52254546,0.49246737,0.7334331,0.756114
0.001,0.5224281,0.49018797,0.7332465,0.756722
0.001,0.52189314,0.50672245,0.73387116,0.744332
0.001,0.5214769,0.49033093,0.7343172,0.75573
0.001,0.5202295,0.49264896,0.7350645,0.753238
0.001,0.51974344,0.49234244,0.73510313,0.753052
0.001,0.5195079,0.4894183,0.73594314,0.754952
0.001,0.51886755,0.4940503,0.7361658,0.753446
0.001,0.5177702,0.48199192,0.7368605,0.7616
0.001,0.5169275,0.49149135,0.7376805,0.756692
0.001,0.51613176,0.4915287,0.7379352,0.755396
0.001,0.5150415,0.4834018,0.73895586,0.761182
0.001,0.51365,0.487895,0.74020916,0.756416
0.001,0.5130222,0.48861104,0.7406812,0.756656
0.001,0.51251847,0.48445225,0.74068713,0.758388
0.001,0.51211375,0.47173244,0.7411725,0.768354
0.001,0.51145226,0.47229192,0.7413178,0.768334
0.001,0.5109618,0.4748214,0.7420598,0.765996
0.001,0.5105968,0.48957804,0.74211514,0.75667
0.001,0.5105489,0.48290825,0.74273515,0.759978
0.001,0.5096842,0.47979137,0.7428485,0.764082
0.001,0.5094599,0.4725616,0.74284714,0.768618
0.001,0.5088444,0.47888938,0.7434958,0.764024
0.001,0.5086816,0.47117263,0.74339914,0.768462
0.001,0.5083851,0.4690045,0.74374515,0.769968
0.001,0.5079782,0.4742199,0.7439398,0.767816
0.001,0.5075286,0.47179493,0.74439716,0.7677
0.001,0.507644,0.4668807,0.7443945,0.771102
0.001,0.5071135,0.47019488,0.7444065,0.769846
0.001,0.5071023,0.4718434,0.74450713,0.768708
0.001,0.50660676,0.47048342,0.7453038,0.769052
0.001,0.50637585,0.47832856,0.7453218,0.764496
0.001,0.50615185,0.46891373,0.7454445,0.769998
0.001,0.5061614,0.4672782,0.74532515,0.771652
0.001,0.5057907,0.46519274,0.74557185,0.773412
0.001,0.50508785,0.463364,0.7460305,0.774612
0.001,0.5054341,0.47093493,0.74576247,0.769012
0.001,0.5051383,0.4737589,0.7461065,0.766542
0.001,0.5050566,0.48206118,0.7462598,0.760816
0.001,0.5048504,0.49243537,0.7462405,0.755696
0.001,0.5046616,0.47067848,0.7464592,0.768068
0.001,0.50400007,0.46566465,0.74709517,0.773026
0.001,0.50441265,0.4652863,0.7467332,0.772444
0.001,0.5036455,0.4623204,0.7468992,0.776998
0.001,0.5035631,0.45886663,0.7470718,0.776714
0.001,0.5029931,0.4593175,0.7474778,0.776908
0.001,0.5032631,0.46594262,0.7474512,0.77394
0.001,0.5029807,0.4616571,0.7476305,0.77537
0.001,0.50261164,0.46117,0.7478945,0.77649
0.001,0.501936,0.4610533,0.74812114,0.77597
0.001,0.50213367,0.47812852,0.74807316,0.762566
0.001,0.5019783,0.48604807,0.7485085,0.75964
0.001,0.50152105,0.47841874,0.74894184,0.763436
0.001,0.5013256,0.4807039,0.7486772,0.76392
0.001,0.50094455,0.47046128,0.7492458,0.767926
0.001,0.50088656,0.46229517,0.7493712,0.774326
0.001,0.50082105,0.46149907,0.7493012,0.776482
0.001,0.50040865,0.4786259,0.74968785,0.764882
0.001,0.5003865,0.47804657,0.7495278,0.76454
0.001,0.4999865,0.45360205,0.7496718,0.781056
0.001,0.4997774,0.4579035,0.7497685,0.777848
0.001,0.4993891,0.4597562,0.75026786,0.777148
0.001,0.49923703,0.49351948,0.7502165,0.75323
0.001,0.4993018,0.4861508,0.74999315,0.760768
0.001,0.49854398,0.48731577,0.75112385,0.759954
0.001,0.49865142,0.46477032,0.7509205,0.77428
0.001,0.49863797,0.4737092,0.7505018,0.766556
0.001,0.49807057,0.4673057,0.7511545,0.76931
0.001,0.49797022,0.4511579,0.7512072,0.782166
0.001,0.49772027,0.46013984,0.7512492,0.776606
0.001,0.49753004,0.47053203,0.7514332,0.771098
0.001,0.4977553,0.4785745,0.75102717,0.764524
0.001,0.4972822,0.47635183,0.7516405,0.766694
0.001,0.49693882,0.46782082,0.7518465,0.773124
0.001,0.49712598,0.44970027,0.7520112,0.782866
0.001,0.4967224,0.46100584,0.75237715,0.776374
0.001,0.4962255,0.470387,0.75239986,0.768366
0.001,0.49645716,0.4640738,0.7521005,0.773236
0.001,0.49611604,0.45571753,0.7527058,0.77954
0.001,0.49602062,0.46238852,0.7526845,0.77576
0.001,0.4959428,0.46023756,0.7527105,0.776296
0.001,0.49536347,0.45524034,0.75321114,0.779286
0.001,0.49542642,0.48278955,0.7526572,0.763998
0.001,0.4951436,0.46562347,0.7532192,0.771286
0.001,0.4948577,0.45849314,0.7531832,0.777394
0.001,0.49482822,0.46735027,0.75340515,0.770702
0.001,0.49476898,0.44547844,0.75321114,0.785304
0.001,0.4944592,0.45614836,0.7535112,0.778014
0.001,0.4946824,0.4572878,0.75363916,0.777064
0.001,0.49432203,0.46523246,0.75402784,0.773798
0.001,0.49422908,0.46249053,0.7535952,0.773798
0.001,0.4938584,0.4584544,0.7541238,0.778728
0.001,0.49370962,0.45657873,0.7541392,0.778988
0.001,0.49337262,0.45467126,0.75458515,0.779566
0.001,0.49311817,0.46574295,0.75461584,0.77116
0.001,0.49295273,0.45834872,0.7548585,0.777854
0.001,0.4927178,0.44608068,0.7552005,0.785954
0.001,0.4922962,0.46283203,0.75533915,0.77613
0.001,0.49232236,0.45194793,0.7549792,0.781854
0.001,0.4919114,0.46474546,0.7551658,0.773964
0.001,0.49200606,0.4533608,0.7555605,0.780954
0.001,0.49182078,0.46199802,0.7552865,0.77792
0.001,0.49131626,0.44825286,0.75611186,0.784178
0.001,0.4910363,0.44296706,0.7561718,0.78731
0.001,0.49133667,0.4552806,0.7561685,0.778452
0.001,0.49072284,0.45295647,0.7565132,0.781216
0.001,0.49048612,0.4512626,0.75638515,0.781138
0.001,0.4904824,0.46644396,0.75631917,0.773302
0.001,0.49061003,0.4518016,0.7564538,0.781354
0.001,0.49052674,0.45394126,0.7564012,0.779718
0.001,0.49053317,0.4548054,0.75656253,0.780302
0.001,0.48965412,0.44845256,0.7565398,0.784926
0.001,0.48944557,0.44487914,0.75714517,0.786142
0.001,0.48962933,0.45339885,0.7570085,0.780084
0.001,0.48895782,0.45521912,0.7573632,0.77931
0.001,0.489134,0.4427992,0.7571412,0.787342
0.001,0.48909634,0.45411026,0.7571332,0.781924
0.001,0.48913157,0.45700672,0.75748384,0.780334
0.001,0.4886538,0.44537276,0.7580205,0.786192
0.001,0.48876962,0.449372,0.7579772,0.782852
0.001,0.48839563,0.45082957,0.75748515,0.782694
0.001,0.48842815,0.43477222,0.7580385,0.792512
0.001,0.48828846,0.46806854,0.7576052,0.773482
0.001,0.4878307,0.45487362,0.75802916,0.780626
0.001,0.48784202,0.4602286,0.7585292,0.77759
0.001,0.48791218,0.45514917,0.7583025,0.779972
0.001,0.48754558,0.4387228,0.75827116,0.789544
0.001,0.48773438,0.4414293,0.7583345,0.788734
0.001,0.4873572,0.44131863,0.7586938,0.789244
0.001,0.48682457,0.46933594,0.7587025,0.77566
0.001,0.48716757,0.46278414,0.7586065,0.77572
0.001,0.48696473,0.4435917,0.75904715,0.787048
0.001,0.48713902,0.44661805,0.75860786,0.785266
0.001,0.48641866,0.4430248,0.7596612,0.787658
0.001,0.48647842,0.44890165,0.7591585,0.783004
0.001,0.4861929,0.44004726,0.7592778,0.788652
0.001,0.48642093,0.45490092,0.7592585,0.779674
0.001,0.48616433,0.4475887,0.75952053,0.78391
0.001,0.48644254,0.44104365,0.7593178,0.78858
0.001,0.48604944,0.44937572,0.75938785,0.783622
0.001,0.4860175,0.44271198,0.75962585,0.787312
0.001,0.48575336,0.44298637,0.75984985,0.78733
0.001,0.4860081,0.4414152,0.75956583,0.78861
0.001,0.48554516,0.44609976,0.75986916,0.786112
0.001,0.48544183,0.44037032,0.7601352,0.790642
0.001,0.48499218,0.4454553,0.7603612,0.786518
0.001,0.4853213,0.45115593,0.7600625,0.784178
0.001,0.48493809,0.45426857,0.7601885,0.780444
0.001,0.48510325,0.4481654,0.76043916,0.784436
0.001,0.48485875,0.44084713,0.7600445,0.789384
0.001,0.48467097,0.45171955,0.76057917,0.781986
0.001,0.4845403,0.45530617,0.7602425,0.779482
0.001,0.48496073,0.43728495,0.75996053,0.790892
0.001,0.48419958,0.45628926,0.7607405,0.778846
0.001,0.4843074,0.4419633,0.7606158,0.788508
0.001,0.4840739,0.43164065,0.7608592,0.794896
0.001,0.4841345,0.43469813,0.76090586,0.794084
0.001,0.4838628,0.4417059,0.76095587,0.787504
0.001,0.48379305,0.44997618,0.7610025,0.785422
0.001,0.48393658,0.43158042,0.76079386,0.794214
0.001,0.4835068,0.45930606,0.76135653,0.777744
0.001,0.48312593,0.46119842,0.7612145,0.775184
0.001,0.483222,0.4699352,0.7614125,0.776834
0.001,0.48255733,0.44302896,0.7623172,0.787176
0.001,0.48235774,0.44260913,0.76217586,0.788038
0.001,0.4827003,0.43825427,0.7619272,0.791752
0.001,0.483093,0.44013494,0.7613505,0.790228
0.001,0.4822451,0.44567856,0.76212585,0.785384
0.001,0.4821245,0.4605916,0.76220787,0.776438
0.001,0.48255587,0.4346621,0.7625725,0.793482
0.001,0.4819488,0.44292092,0.7620072,0.787788
0.001,0.48211634,0.46296847,0.76210785,0.775352
