epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.0014,0.6508869,0.6919162,0.5103775,0.5180003
1,0.0014,0.64978766,0.6912526,0.51512223,0.5238484
2,0.0014,0.6484416,0.68983305,0.5231276,0.5307205
3,0.0014,0.6460625,0.68624234,0.5359185,0.54620475
4,0.0014,0.64353454,0.6845791,0.5453459,0.5505908
5,0.0014,0.6425575,0.68370575,0.549276,0.55358887
6,0.0014,0.6418488,0.68370676,0.55117136,0.55259484
7,0.0014,0.64157355,0.6850046,0.55230135,0.54938877
8,0.0014,0.6413647,0.6831846,0.5530374,0.5546889
9,0.0014,0.6411669,0.6829587,0.55363005,0.5556069
10,0.0014,0.64108944,0.6827483,0.55403537,0.5553489
11,0.0014,0.6409141,0.68340564,0.55461407,0.55445886
12,0.0014,0.6408136,0.6825146,0.5548221,0.5558389
13,0.0014,0.6408264,0.68243027,0.5544347,0.5573269
14,0.0014,0.6407769,0.6838635,0.5549547,0.55373484
15,0.0014,0.64065075,0.68329394,0.55488944,0.5549189
16,0.0014,0.6406114,0.6826451,0.5554447,0.55620086
17,0.0014,0.6405533,0.6824111,0.55570674,0.5573869
18,0.0014,0.640496,0.6841651,0.5558754,0.5516628
19,0.0014,0.6404949,0.6830398,0.5553654,0.55507493
20,0.0014,0.64041734,0.68270206,0.55553806,0.5566749
21,0.0014,0.64041215,0.6823493,0.5559474,0.5567149
22,0.0014,0.64042073,0.68236995,0.5556334,0.55670494
23,0.0014,0.6403594,0.68311894,0.55621606,0.5552989
24,0.0014,0.64030516,0.6858841,0.5559454,0.5434907
25,0.0014,0.6402949,0.68214744,0.5560781,0.5574249
26,0.0014,0.6402723,0.6825039,0.55631006,0.5559609
27,0.0014,0.64027166,0.6824828,0.5562961,0.55662096
28,0.0014,0.6402768,0.6825528,0.55620944,0.5562929
29,0.0014,0.64022815,0.6820673,0.5562154,0.5575269
30,0.0014,0.64020574,0.6825561,0.55664945,0.5558568
31,0.0014,0.640201,0.6843431,0.5561001,0.5514528
32,0.0014,0.6402289,0.6822721,0.5564061,0.55778897
33,0.0014,0.64018106,0.6823273,0.55656743,0.5578369
34,0.0014,0.64015335,0.68222773,0.5565561,0.55728495
35,0.0014,0.64017,0.6822156,0.55691206,0.55722094
36,0.0014,0.64008176,0.682838,0.55658674,0.5557569
37,0.0014,0.64010495,0.68243164,0.5566207,0.5568189
38,0.0014,0.6400756,0.682119,0.5566074,0.5578249
39,0.0014,0.6400603,0.68230295,0.5570001,0.55744094
40,0.0014,0.6400111,0.68270946,0.55687404,0.5562909
