epochs,learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0,0.001,0.68817765,0.8337656,0.50122,0.499994
1,0.001,0.70256764,0.57922965,0.50075334,0.507838
2,0.001,0.7193553,0.7425302,0.501302,0.499982
3,0.001,0.7223292,0.5863577,0.5013267,0.501308
4,0.001,0.73445743,0.5910342,0.50082666,0.498838
5,0.001,0.7600167,0.62233126,0.5010747,0.497744
6,0.001,0.77602166,0.5987484,0.50061536,0.498676
7,0.001,0.7783767,0.6102076,0.5011647,0.506772
8,0.001,0.7702752,0.59129125,0.50009865,0.495588
9,0.001,0.77812153,0.58291245,0.50058067,0.501144
10,0.001,0.75626975,0.5816179,0.5004247,0.49995
11,0.001,0.74579465,0.61291057,0.49925667,0.50008
12,0.001,0.71995,0.59347963,0.49987668,0.500144
13,0.001,0.6992169,0.6085385,0.500062,0.499978
14,0.001,0.7042764,0.57950366,0.50003666,0.499978
15,0.001,0.6891528,0.58077794,0.49953267,0.50213
16,0.001,0.6843335,0.59755504,0.5004607,0.499978
17,0.001,0.699822,0.58461493,0.49977,0.50024
18,0.001,0.71379596,0.6353085,0.50033534,0.500038
19,0.001,0.7194713,0.64104366,0.499898,0.499978
20,0.001,0.7128564,0.58887637,0.50096333,0.500196
21,0.001,0.7028415,0.6272202,0.50048333,0.500014
22,0.001,0.69570094,0.61867225,0.5004387,0.500112
23,0.001,0.6905668,0.6014428,0.500254,0.500068
24,0.001,0.6914936,0.59479356,0.50109935,0.499908
25,0.001,0.6941486,0.58391565,0.50024,0.505092
26,0.001,0.6935704,0.5907821,0.500436,0.499926
27,0.001,0.6838964,0.63718337,0.5005853,0.499978
28,0.001,0.67634,0.61578995,0.500904,0.498978
29,0.001,0.67654055,0.6176536,0.5011467,0.50009
30,0.001,0.68164295,0.5955541,0.50132334,0.499704
31,0.001,0.67357546,0.6008649,0.501104,0.500034
32,0.001,0.6697521,0.5851856,0.5012173,0.500586
33,0.001,0.66645753,0.58778477,0.5025307,0.502644
34,0.001,0.6692611,0.5790375,0.50239134,0.500708
35,0.001,0.66862553,0.57821363,0.5021567,0.501606
36,0.001,0.66828924,0.5777926,0.5021333,0.503706
37,0.001,0.6661449,0.5800274,0.50192666,0.499978
38,0.001,0.66407394,0.5819753,0.50037,0.500022
