learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.62193644,0.6945411,0.64926666,0.5732
0.001,0.62088776,0.7066451,0.6518667,0.5683
0.001,0.61976635,0.7032076,0.6508267,0.57164
0.001,0.6204025,0.70394826,0.6511,0.57228
0.001,0.6192733,0.69595927,0.65192,0.57218
0.001,0.618395,0.70743996,0.6543933,0.5762
0.001,0.61833566,0.70503056,0.6531,0.57258
0.001,0.617858,0.70599186,0.65449333,0.57556
0.001,0.6173522,0.70219177,0.6539,0.56738
0.001,0.6164846,0.71586746,0.655,0.57626
0.001,0.6164306,0.702467,0.6565667,0.57462
0.001,0.61520696,0.7155392,0.6566667,0.5705
0.001,0.61539304,0.7037201,0.65666,0.57186
0.001,0.61484855,0.70651776,0.65648,0.57416
0.001,0.61443895,0.7244955,0.6571133,0.57046
0.001,0.6138428,0.70178115,0.65862,0.5727
0.001,0.6131947,0.71137667,0.65876,0.56284
0.001,0.6129381,0.71400297,0.6598,0.5691
0.001,0.61215293,0.71206164,0.6606,0.57232
0.001,0.6116929,0.7134049,0.6617067,0.56834
0.001,0.6114018,0.7178485,0.66136,0.56702
0.001,0.6114652,0.71762806,0.66099334,0.571
0.001,0.6097973,0.7197876,0.66136664,0.56766
0.001,0.60949683,0.71142817,0.6636267,0.5629
0.001,0.60941035,0.7123045,0.66318,0.57196
0.001,0.60898453,0.7155744,0.6622667,0.56724
0.001,0.60839266,0.7144117,0.6634733,0.5659
0.001,0.60898864,0.7092239,0.6633533,0.56776
0.001,0.60752195,0.72592664,0.66386664,0.56816
0.001,0.60680777,0.70634663,0.6649067,0.5713
0.001,0.60662365,0.7167843,0.6653867,0.57036
0.001,0.6054886,0.70275944,0.66664666,0.57172
0.001,0.60566074,0.71166027,0.66719335,0.57016
0.001,0.60458505,0.72375286,0.66724664,0.57194
0.001,0.6043687,0.7219748,0.66775334,0.5634
0.001,0.6044054,0.72726065,0.66860664,0.5632
0.001,0.6027838,0.7420479,0.67006665,0.56888
0.001,0.60402334,0.71076494,0.6691333,0.57056
0.001,0.6019673,0.7105457,0.66921335,0.57006
0.001,0.60203713,0.71317136,0.67090666,0.56888
0.001,0.60207534,0.7196378,0.66987336,0.57194
0.001,0.6028253,0.7090419,0.66874,0.5701
0.001,0.6005816,0.7233819,0.67162,0.5648
0.001,0.60031235,0.7166447,0.6714467,0.57056
0.001,0.5999047,0.71891195,0.6708267,0.5715
0.001,0.5996429,0.7241785,0.67222,0.55946
0.001,0.59939444,0.71645397,0.67270666,0.56374
0.001,0.5986736,0.70865536,0.67484,0.56612
0.001,0.5981814,0.7234012,0.67392665,0.56764
0.001,0.5976552,0.7187569,0.67609334,0.56616
0.001,0.5959245,0.716289,0.6755267,0.56288
0.001,0.5964388,0.72891796,0.6753,0.5681
0.001,0.59590197,0.72989523,0.67564,0.56104
0.001,0.59688497,0.71432006,0.67510664,0.56432
