learning_rate,train_loss,test_loss,train_accuracy,test_accuracy
0.001,0.6845795,0.6848429,0.5553667,0.55646
0.001,0.6842981,0.68615663,0.55728,0.5516
0.001,0.6842413,0.6817161,0.5561867,0.56288
0.001,0.684209,0.68420994,0.55644,0.55512
0.001,0.68395567,0.6843139,0.55747336,0.55694
0.001,0.6845703,0.68117416,0.5557733,0.56258
0.001,0.6836699,0.68251234,0.558,0.55692
0.001,0.6833917,0.6843202,0.55844665,0.5573
0.001,0.6839259,0.68563414,0.55733335,0.55488
0.001,0.6836694,0.68572456,0.5586333,0.5579
0.001,0.6828054,0.6818213,0.55914664,0.5629
0.001,0.6830507,0.6832608,0.5583,0.5627
0.001,0.68248934,0.7007833,0.56186664,0.53142
0.001,0.68208367,0.6916752,0.56112665,0.53724
0.001,0.6826302,0.6819112,0.56131333,0.56254
0.001,0.6836104,0.6906302,0.5573133,0.55072
0.001,0.68326426,0.6814582,0.55868,0.56382
0.001,0.68198925,0.68143547,0.56291336,0.56354
0.001,0.6824809,0.6919465,0.5604067,0.54448
0.001,0.68187964,0.6832039,0.5625067,0.56382
0.001,0.6817321,0.68451184,0.5618,0.55948
0.001,0.681952,0.6807057,0.56258,0.56506
0.001,0.68214613,0.6813325,0.56124,0.564
0.001,0.681009,0.6802694,0.5625467,0.56546
0.001,0.6809591,0.68298966,0.5641133,0.55774
0.001,0.6809028,0.6803128,0.56344664,0.5646
0.001,0.68074465,0.6812479,0.5651733,0.56994
0.001,0.6810785,0.6805865,0.5648533,0.5652
0.001,0.68003047,0.684558,0.56766665,0.563
0.001,0.6806685,0.6809429,0.56605333,0.5657
0.001,0.68026555,0.6790221,0.56594664,0.56922
0.001,0.6798095,0.7049029,0.56763333,0.55206
0.001,0.6800853,0.67884153,0.56556,0.56856
0.001,0.67919225,0.67948353,0.56858,0.56898
0.001,0.6790585,0.67957276,0.56854,0.56666
0.001,0.678791,0.6784723,0.56792665,0.57126
0.001,0.6787597,0.68914944,0.5701,0.55914
0.001,0.6788303,0.68116707,0.56898,0.56602
0.001,0.6787369,0.6793588,0.5700667,0.56988
0.001,0.6795757,0.67988867,0.5676,0.57096
0.001,0.6785931,0.6873117,0.56935334,0.55378
0.001,0.67896247,0.679011,0.56890666,0.56938
0.001,0.6788937,0.6821655,0.57022,0.5677
0.001,0.6785941,0.68411785,0.5699667,0.55894
0.001,0.6784579,0.67784125,0.56982666,0.57166
0.001,0.6781883,0.6791505,0.5713133,0.5693
0.001,0.6784789,0.6837797,0.5695533,0.5636
0.001,0.6779354,0.67844343,0.56927335,0.57246
0.001,0.6780286,0.67814857,0.57118666,0.57044
0.001,0.6777365,0.6848606,0.5721933,0.5571
0.001,0.67753935,0.6779473,0.57214665,0.57444
0.001,0.6773904,0.677662,0.57178664,0.57008
0.001,0.67742664,0.68603176,0.57180667,0.55384
0.001,0.6775159,0.68719226,0.57204,0.56416
0.001,0.6777045,0.68310016,0.5714333,0.55744
0.001,0.6768807,0.6831048,0.5729667,0.5661
0.001,0.6768845,0.6824301,0.57352,0.57046
0.001,0.67677194,0.6775474,0.57362,0.57178
0.001,0.6761325,0.68106776,0.57467335,0.56834
0.001,0.6768925,0.6798045,0.57390666,0.56732
0.001,0.67660046,0.6783592,0.57339334,0.57028
0.001,0.6759821,0.6788247,0.57536,0.57354
0.001,0.67569757,0.6764315,0.57489336,0.57646
0.001,0.6762259,0.6813309,0.57553333,0.56746
0.001,0.6751115,0.68923324,0.5767,0.56208
0.001,0.6751511,0.6776821,0.5763533,0.57048
0.001,0.67461044,0.67566663,0.57898664,0.57628
0.001,0.67467594,0.67437285,0.57816666,0.58038
0.001,0.6746147,0.67635465,0.5770533,0.5761
0.001,0.67427146,0.67979866,0.57876,0.56918
0.001,0.6740278,0.69054186,0.57788,0.5659
0.001,0.67413336,0.6744788,0.57952,0.57768
0.001,0.67344993,0.6750036,0.57958,0.57594
0.001,0.6735411,0.69134367,0.57982,0.55158
0.001,0.67316467,0.6888454,0.57954,0.55578
0.001,0.67290103,0.67579246,0.58006,0.57624
0.001,0.672022,0.6753922,0.58279335,0.57556
0.001,0.67205083,0.67279994,0.58199334,0.57848
0.001,0.67157805,0.6724514,0.5833733,0.58034
0.001,0.67160445,0.6751812,0.58228666,0.5783
0.001,0.67160743,0.6770604,0.58154,0.57346
0.001,0.6712045,0.6819527,0.58320665,0.56698
0.001,0.6708393,0.67282397,0.5842933,0.5814
0.001,0.67049867,0.67187035,0.58559334,0.58224
0.001,0.6706767,0.6738036,0.58458,0.5803
0.001,0.6708288,0.68232185,0.58415335,0.57168
0.001,0.66986465,0.6734068,0.58639336,0.58024
0.001,0.6701681,0.6717447,0.5844733,0.58132
0.001,0.66957057,0.6715908,0.58501333,0.58216
